path,model,K,encoding,seed,target_bits_per_symbol,measured_H0_bits_per_symbol,measured_Hrate_bits_per_symbol,n_symbols,bytes_written,source_bits_per_symbol,params_json
data\kary\K256\iid_peaked\H0.500_q0.000138_N10000000_seed123.bin,iid_peaked,256,pack,123,0.500000,0.500000,,10000000,10000000,8,"{""peaked"": true, ""q"": 0.00013766000402117424}"
data\kary\K256\iid_peaked\H0.500_q0.000138_N10000000_seed456.bin,iid_peaked,256,pack,456,0.500000,0.500000,,10000000,10000000,8,"{""peaked"": true, ""q"": 0.00013766000402117424}"
data\kary\K256\iid_peaked\H1.000_q0.000300_N10000000_seed123.bin,iid_peaked,256,pack,123,1.000000,1.000000,,10000000,10000000,8,"{""peaked"": true, ""q"": 0.00029956244613888394}"
data\kary\K256\iid_peaked\H1.000_q0.000300_N10000000_seed456.bin,iid_peaked,256,pack,456,1.000000,1.000000,,10000000,10000000,8,"{""peaked"": true, ""q"": 0.00029956244613888394}"
data\kary\K256\iid_peaked\H2.000_q0.000660_N10000000_seed123.bin,iid_peaked,256,pack,123,2.000000,2.000001,,10000000,10000000,8,"{""peaked"": true, ""q"": 0.0006602852862202695}"
data\kary\K256\iid_peaked\H2.000_q0.000660_N10000000_seed456.bin,iid_peaked,256,pack,456,2.000000,2.000001,,10000000,10000000,8,"{""peaked"": true, ""q"": 0.0006602852862202695}"
data\kary\K256\iid_peaked\H4.000_q0.001492_N10000000_seed123.bin,iid_peaked,256,pack,123,4.000000,4.000000,,10000000,10000000,8,"{""peaked"": true, ""q"": 0.0014920460038143888}"
data\kary\K256\iid_peaked\H4.000_q0.001492_N10000000_seed456.bin,iid_peaked,256,pack,456,4.000000,4.000000,,10000000,10000000,8,"{""peaked"": true, ""q"": 0.0014920460038143888}"
data\kary\K256\iid_peaked\H7.500_q0.003402_N10000000_seed123.bin,iid_peaked,256,pack,123,7.500000,7.500000,,10000000,10000000,8,"{""peaked"": true, ""q"": 0.00340243855098382}"
data\kary\K256\iid_peaked\H7.500_q0.003402_N10000000_seed456.bin,iid_peaked,256,pack,456,7.500000,7.500000,,10000000,10000000,8,"{""peaked"": true, ""q"": 0.00340243855098382}"
data\kary\K256\zipf\H7.708_s0.5000_N10000000_seed123.bin,zipf,256,pack,123,7.707586,7.707586,,10000000,10000000,8,"{""s"": 0.5}"
data\kary\K256\zipf\H7.708_s0.5000_N10000000_seed456.bin,zipf,256,pack,456,7.707586,7.707586,,10000000,10000000,8,"{""s"": 0.5}"
data\kary\K256\zipf\H6.998_s0.8000_N10000000_seed123.bin,zipf,256,pack,123,6.997878,6.997878,,10000000,10000000,8,"{""s"": 0.8}"
data\kary\K256\zipf\H6.998_s0.8000_N10000000_seed456.bin,zipf,256,pack,456,6.997878,6.997878,,10000000,10000000,8,"{""s"": 0.8}"
data\kary\K256\zipf\H6.222_s1.0000_N10000000_seed123.bin,zipf,256,pack,123,6.221680,6.221679,,10000000,10000000,8,"{""s"": 1.0}"
data\kary\K256\zipf\H6.222_s1.0000_N10000000_seed456.bin,zipf,256,pack,456,6.221680,6.221679,,10000000,10000000,8,"{""s"": 1.0}"
data\kary\K256\zipf\H5.290_s1.2000_N10000000_seed123.bin,zipf,256,pack,123,5.289777,5.289779,,10000000,10000000,8,"{""s"": 1.2}"
