dataset,alg,params,original_bytes,compressed_bytes,ratio,bpb,entropy_bpb,%_over_entropy,comp_time_s,comp_MB_s,comp_MiB_s,decomp_time_s,decomp_MB_s,decomp_MiB_s,repeats,env_python,env_platform,env_brotli
./data\letters_gaussian.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",1012500,554306,0.5474627160493827,4.3797017283950614,4.346993003886087,0.7524448389894679,0.0032831999706104398,308.388160655273,294.1016158712566,0.003527899971231818,286.99793312066913,273.7023227582728,5,3.10.2,Windows-10-10.0.19045-SP0,1.1.0
./data\letters_linear.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",1012500,571472,0.5644167901234568,4.515334320987654,4.490224518375472,0.559210402718728,0.003327600017655641,304.27334854786,290.1774286157363,0.00340919999871403,296.9904964161448,283.23196554887375,5,3.10.2,Windows-10-10.0.19045-SP0,1.1.0
./data\letters_uniform.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",1012500,608599,0.6010854320987654,4.808683456790123,4.738380001040223,1.4837023568068881,0.003402499947696924,297.5753168447037,283.7896932925985,0.003355499997269362,301.74340659333984,287.76469002258193,5,3.10.2,Windows-10-10.0.19045-SP0,1.1.0
./data\letters_gaussian.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",1012500,577325,0.5701975308641976,4.56158024691358,4.346993003886087,4.9364524588757845,0.003450099960900843,293.469757825692,279.87433046225993,0.0031701999832876027,319.3804824104515,304.58470180913923,5,3.10.2,Windows-10-10.0.19045-SP0,1.1.0
./data\letters_linear.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",1012500,585980,0.5787456790123456,4.629965432098765,4.490224518375472,3.112114174946655,0.003070599981583655,329.7401179159147,314.46441163820674,0.0029414999880827963,344.21213805950913,328.26599370967375,5,3.10.2,Windows-10-10.0.19045-SP0,1.1.0
./data\letters_uniform.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",1012500,618566,0.6109293827160494,4.887435061728395,4.738380001040223,3.145696644326738,0.002784299955237657,363.6461646653214,346.79970984037647,0.0028998000198043883,349.16200878855784,332.98655424180896,5,3.10.2,Windows-10-10.0.19045-SP0,1.1.0
./data\letters_gaussian.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",1012500,554306,0.5474627160493827,4.3797017283950614,4.346993003886087,0.7524448389894679,0.0032595000229775906,310.6304626054488,296.2400398153429,0.0033930999925360084,298.39969415202995,284.57588008283415,5,3.10.2,Windows-10-10.0.19045-SP0,1.1.0
./data\letters_linear.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",1012500,571472,0.5644167901234568,4.515334320987654,4.490224518375472,0.559210402718728,0.003293000045232475,307.4703875166576,293.22635995190967,0.0034088999964296818,297.01663324252513,283.25689154751086,5,3.10.2,Windows-10-10.0.19045-SP0,1.1.0
./data\letters_uniform.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",1012500,608599,0.6010854320987654,4.808683456790123,4.738380001040223,1.4837023568068881,0.0032971000182442367,307.08804537242213,292.8617303818367,0.003364300006069243,300.9541355329299,287.01198312963976,5,3.10.2,Windows-10-10.0.19045-SP0,1.1.0
./data\letters_gaussian.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 2}",1012500,565511,0.5585293827160493,4.468235061728395,4.346993003886087,2.7891017476660425,0.008218000002671033,123.20515936613712,117.49749528731478,0.003841400030069053,263.57577760049094,251.36523377588327,5,3.10.2,Windows-10-10.0.19045-SP0,1.1.0
