dataset,alg,params,original_bytes,compressed_bytes,ratio,bpb,entropy_bpb,%_over_entropy,comp_time_s,comp_MB_s,decomp_time_s,decomp_MB_s,repeats,comp_MiB_s,decomp_MiB_s,env_python,env_platform
data\kary\K256\histperm\H04.000_alt_N10000000_seed123.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,4782,0.0004782,0.0038256,3.9999997303018477,-99.90435999355152,0.0020978000247851014,4766.898599414594,0.0078318000305444,1276.845675451303,5,4546.064861255855,1217.6938815372562,3.10.2,Windows-10-10.0.19045-SP0
data\kary\K256\histperm\H04.000_alt_N10000000_seed456.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,4782,0.0004782,0.0038256,3.9999997303018477,-99.90435999355152,0.0020345000084489584,4915.212562532108,0.007360300049185753,1358.6402637357521,5,4687.507957243869,1295.6992126526459,3.10.2,Windows-10-10.0.19045-SP0
data\kary\K256\histperm\H04.000_blocks_N10000000_seed123.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,7738,0.0007738,0.0061904,3.9999997303018477,-99.84523998956539,0.0024479000130668283,4085.134174852017,0.013228900032117963,755.9207474333743,5,3895.8841977655793,720.9015833110327,3.10.2,Windows-10-10.0.19045-SP0
data\kary\K256\histperm\H04.000_blocks_N10000000_seed456.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,7738,0.0007738,0.0061904,3.9999997303018477,-99.84523998956539,0.0025520999915897846,3918.3417706806545,0.0132737000240013,753.369443479825,5,3736.81870226271,718.468472345543,3.10.2,Windows-10-10.0.19045-SP0
data\kary\K256\histperm\H04.000_random_N10000000_seed123.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,6035391,0.6035391,4.8283128,3.9999997303018477,20.70782813866955,0.04722909990232438,211.73386790519484,0.06494529999326915,153.97573036134082,5,201.92497842093877,146.84257335951312,3.10.2,Windows-10-10.0.19045-SP0
data\kary\K256\histperm\H04.000_random_N10000000_seed456.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,6037367,0.6037367,4.8298936,3.9999997303018477,20.747348141334175,0.049418100039474666,202.35500741655596,0.06624399998690933,150.95706783974592,5,192.98060773278144,143.96375491367962,3.10.2,Windows-10-10.0.19045-SP0
data\kary\K256\iid_peaked\H0.500_q0.000138_N10000000_seed123.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1076663,0.1076663,0.8613304,0.4999999836933971,72.2660856181493,0.017048300011083484,586.5687484088604,0.025869900011457503,386.54961927070093,5,559.3950700314498,368.64212750700597,3.10.2,Windows-10-10.0.19045-SP0
data\kary\K256\iid_peaked\H0.500_q0.000138_N10000000_seed456.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1076532,0.1076532,0.8612256,0.4999999836933971,72.24512561746573,0.017819899949245155,561.1703785364741,0.026834999909624457,372.6476628909348,5,535.1733177952655,355.38420013919324,3.10.2,Windows-10-10.0.19045-SP0
data\kary\K256\iid_peaked\H1.000_q0.000300_N10000000_seed123.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1991721,0.1991721,1.5933768,0.9999997231123103,59.3377241186543,0.028527199989184737,350.54264013962853,0.03245459997560829,308.1227316779637,5,334.3032257716421,293.84848329003216,3.10.2,Windows-10-10.0.19045-SP0
data\kary\K256\iid_peaked\H1.000_q0.000300_N10000000_seed456.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1991473,0.1991473,1.5931784,0.9999997231123103,59.31788411316086,0.02848680003080517,351.0397794482413,0.03230510000139475,309.54864710427324,5,334.77733435501136,295.2083410422958,3.10.2,Windows-10-10.0.19045-SP0
data\kary\K256\iid_peaked\H2.000_q0.000660_N10000000_seed123.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,3575320,0.357532,2.860256,2.0000005353257113,43.01276172079581,0.03956059995107353,252.77675294023535,0.045854699914343655,218.0801535868722,5,241.06649015464237,207.97726288541378,3.10.2,Windows-10-10.0.19045-SP0
data\kary\K256\iid_peaked\H2.000_q0.000660_N10000000_seed456.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,3576839,0.3576839,2.8614712,2.0000005353257113,43.07352170453262,0.037445200025103986,267.05692567527495,0.04363209998700768,229.18906041601707,5,254.68511243693717,218.57153291858432,3.10.2,Windows-10-10.0.19045-SP0
data\kary\K256\iid_peaked\H4.000_q0.001492_N10000000_seed123.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,6035391,0.6035391,4.8283128,3.9999997303018477,20.70782813866955,0.05133940000087023,194.7821750902912,0.06258529995102435,159.7819297474874,5,185.7585982394722,152.3797918373821,3.10.2,Windows-10-10.0.19045-SP0
data\kary\K256\iid_peaked\H4.000_q0.001492_N10000000_seed456.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,6037367,0.6037367,4.8298936,3.9999997303018477,20.747348141334175,0.049966600025072694,200.13368920403047,0.06241390004288405,160.22071995387384,5,190.86219542317832,152.79825442833413,3.10.2,Windows-10-10.0.19045-SP0
data\kary\K256\iid_peaked\H7.500_q0.003402_N10000000_seed123.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,9804905,0.9804905,7.843924,7.499999838767882,4.585655581675577,0.018924799980595708,528.40716997027,0.02007570001296699,498.11463578061796,5,503.92791408076044,475.0387270410192,3.10.2,Windows-10-10.0.19045-SP0
