dataset,alg,params,original_bytes,compressed_bytes,ratio,bpb,entropy_bpb,%_over_entropy,comp_time_s,comp_MB_s,decomp_time_s,decomp_MB_s,repeats,comp_MiB_s,decomp_MiB_s,env_python,env_platform
data\binary\ascii01\p0.01\p0.01_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,271802,0.0271802,0.2174416,0.08079313589591118,169.13375448149228,0.005971999955363572,1674.4809234331626,0.01742520008701831,573.8815020809977,5,1596.9080793532291,547.2955794477236,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.05\p0.05_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,867509,0.0867509,0.6940072,0.28639695711595625,142.3235243100054,0.01475690002553165,677.6490985707364,0.026782499975524843,373.3781390511897,5,646.2559861567964,356.0808358940482,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.10\p0.10_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1287220,0.128722,1.029776,0.4689955935892812,119.57050643461211,0.01728899998124689,578.4024530537826,0.027764700003899634,360.1695677819487,5,551.6070905756008,343.48417152995523,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.20\p0.20_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1751833,0.1751833,1.4014664,0.7219280948873623,94.12825320486543,0.018301200005225837,546.4122569637258,0.03229179990012199,309.67614164988754,5,521.0988883731139,295.32992921157006,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.30\p0.30_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1925066,0.1925066,1.5400528,0.8812908992306927,74.74965432462332,0.019599699997343123,510.21189106749443,0.03375199995934963,296.27873939452,5,486.5755588049808,282.5531817404332,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.40\p0.40_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1963690,0.196369,1.570952,0.9709505944546686,61.795256007059784,0.01979429996572435,505.1959411202174,0.03303569997660816,302.7028338155625,5,481.79198027366186,288.67967033754275,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.50\p0.50_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1970609,0.1970609,1.5764872,1.0,57.64872000000001,0.019806899945251644,504.87456531012185,0.032969700056128204,303.3087951354068,5,481.48549268071986,289.2575595890076,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.60\p0.60_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1963718,0.1963718,1.5709744,0.9709505944546686,61.79756302454638,0.019316900055855513,517.6814070106818,0.032699799980036914,305.81226815163876,5,493.69903820185425,291.64505545719993,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.80\p0.80_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1752128,0.1752128,1.4017024,0.7219280948873623,94.16094344114678,0.01825179997831583,547.891167549533,0.03171270003076643,315.33108156348686,5,522.5092862045054,300.72289553917017,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.90\p0.90_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1286353,0.1286353,1.0290824,0.4689955935892812,119.42261591933206,0.017481599934399128,572.0300222820376,0.028448699973523617,351.5099111490757,5,545.529872231629,335.2256864986019,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.95\p0.95_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,867373,0.0867373,0.6938984,0.28639695711595625,142.28553507956957,0.01698379998560995,588.7963829339024,0.02626880002208054,380.6797414268785,5,561.519506040904,363.04418057166674,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.99\p0.99_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,271891,0.0271891,0.2175128,0.08079313589591118,169.22188077985965,0.005773199955001473,1732.1416333998166,0.020698399981483817,483.12913118626113,5,1651.8975703163183,460.747448457296,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.01\p0.01_random_10000000B.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1516145,0.1516145,1.212916,0.6463345554604936,87.66070756279379,0.01907849998679012,524.1502218163881,0.02696829999331385,370.8057238490844,5,499.8681754446319,353.62759169030375,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.05\p0.05_random_10000000B.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,4104296,0.4104296,3.2834368,2.291160100889569,43.30892017215072,0.0368978000478819,271.0188679819149,0.043314000009559095,230.87223525403036,5,258.46351181483686,220.1767321538653,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.10\p0.10_random_10000000B.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,5689220,0.568922,4.551376,3.7519456376681077,21.307088095997866,0.04630029993131757,215.98132225566837,0.050468500005081296,198.1433963560077,5,205.97566306836285,188.96410588103527,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.20\p0.20_random_10000000B.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,7432515,0.7432515,5.946012,5.775409955115091,2.9539382695043526,0.030121800024062395,331.9854720505293,0.04094420000910759,244.23483662583735,5,316.60574636970296,232.9202909446483,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.30\p0.30_random_10000000B.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,9017096,0.9017096,7.2136768,7.050309204593689,2.317169228547699,0.02970780001487583,336.6119333977143,0.04372810001950711,228.68590209817026,5,321.01787994539495,218.09168416562514,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.40\p0.40_random_10000000B.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,10000013,1.0000013,8.0000104,7.767587988589667,2.992208285915201,0.011969499988481402,835.4567868017286,0.006832199986092746,1463.6573900581739,5,796.7529961815187,1395.8512628479361,3.10.2,Windows-10-10.0.19045-SP0
