dataset,alg,params,original_bytes,compressed_bytes,ratio,bpb,entropy_bpb,%_over_entropy,comp_time_s,comp_MB_s,decomp_time_s,decomp_MB_s,repeats,comp_MiB_s,decomp_MiB_s,env_python,env_platform
./data\letters_gaussian.txt,lz4,"{""level"": 0}",1025000,1025083,1.0000809756097562,8.00064780487805,4.388998139753674,82.28870348363996,0.0009833999210968614,1042.302300428028,0.0006358999526128173,1611.8887818570029,5,994.016080678516,1537.2156127576368,3.10.2,Windows-10-10.0.19045-SP0
./data\letters_linear.txt,lz4,"{""level"": 0}",1025000,1025083,1.0000809756097562,8.00064780487805,4.530482928456603,76.5959155176339,0.0009769999887794256,1049.1300018135528,0.0005993000231683254,1710.3286507167516,5,1000.5274785412048,1631.0951068221623,3.10.2,Windows-10-10.0.19045-SP0
./data\letters_uniform.txt,lz4,"{""level"": 0}",1025000,1025083,1.0000809756097562,8.00064780487805,4.7756121247473935,67.53135715144045,0.0008268000092357397,1239.7193862485176,0.0006007000338286161,1706.3425042064164,5,1182.2875234506098,1627.2936245366618,3.10.2,Windows-10-10.0.19045-SP0
./data\letters_gaussian.txt,lz4,"{""level"": 1}",1025000,1025083,1.0000809756097562,8.00064780487805,4.388998139753674,82.28870348363996,0.001002900069579482,1022.0360244164549,0.0006295000202953815,1628.2763573526768,5,974.688670345928,1552.844009202069,3.10.2,Windows-10-10.0.19045-SP0
./data\letters_linear.txt,lz4,"{""level"": 1}",1025000,1025083,1.0000809756097562,8.00064780487805,4.530482928456603,76.5959155176339,0.0009248999413102865,1108.2279868543442,0.0006200000643730164,1653.225634801418,5,1056.887660651636,1576.6374738957325,3.10.2,Windows-10-10.0.19045-SP0
./data\letters_uniform.txt,lz4,"{""level"": 1}",1025000,1025083,1.0000809756097562,8.00064780487805,4.7756121247473935,67.53135715144045,0.0008566000033169985,1196.591169776919,0.0006085000932216644,1684.4697501576436,5,1141.1572863916028,1606.4341586750995,3.10.2,Windows-10-10.0.19045-SP0
./data\letters_gaussian.txt,lz4,"{""level"": 2}",1025000,1025083,1.0000809756097562,8.00064780487805,4.388998139753674,82.28870348363996,0.0010074999881908298,1017.3697389720023,0.0006288000149652362,1630.0890197285826,5,970.2385575840957,1554.5726972705415,3.10.2,Windows-10-10.0.19045-SP0
./data\letters_linear.txt,lz4,"{""level"": 2}",1025000,1025083,1.0000809756097562,8.00064780487805,4.530482928456603,76.5959155176339,0.0009629999985918403,1064.3821407049013,0.0006203999510034919,1652.1600273211993,5,1015.0730391875899,1575.621232282725,3.10.2,Windows-10-10.0.19045-SP0
./data\letters_uniform.txt,lz4,"{""level"": 2}",1025000,1025083,1.0000809756097562,8.00064780487805,4.7756121247473935,67.53135715144045,0.0008676000870764256,1181.41989064797,0.0006364999571815133,1610.369314930993,5,1126.6888395576616,1535.7665374194237,3.10.2,Windows-10-10.0.19045-SP0
./data\letters_gaussian.txt,lz4,"{""level"": 3}",1025000,840183,0.8196907317073171,6.557525853658537,4.388998139753674,49.40826231533941,0.01976920000743121,51.848329705537104,0.0011205000337213278,914.7701643487152,5,49.44637794856735,872.3920623739807,3.10.2,Windows-10-10.0.19045-SP0
./data\letters_linear.txt,lz4,"{""level"": 3}",1025000,870810,0.8495707317073171,6.796565853658537,4.530482928456603,50.01857331739066,0.019721999997273088,51.972416597795565,0.00103859999217093,986.9054570831426,5,49.56471632914627,941.1855793153013,3.10.2,Windows-10-10.0.19045-SP0
./data\letters_uniform.txt,lz4,"{""level"": 3}",1025000,939523,0.9166078048780488,7.332862439024391,4.7756121247473935,53.54811587451238,0.01963730005081743,52.19658493517457,0.0008845999836921692,1158.715825114336,5,49.77849973156435,1105.036573964519,3.10.2,Windows-10-10.0.19045-SP0
./data\letters_gaussian.txt,lz4,"{""level"": 4}",1025000,834160,0.8138146341463415,6.510517073170732,4.388998139753674,48.33720283909996,0.022235099924728274,46.09828619929289,0.001047800062224269,978.2400640673097,5,43.962713845110365,932.9216236475454,3.10.2,Windows-10-10.0.19045-SP0
./data\letters_linear.txt,lz4,"{""level"": 4}",1025000,866680,0.8455414634146341,6.764331707317073,4.530482928456603,49.307078608096056,0.020911799976602197,49.015388495818264,0.001062600058503449,964.6150419411755,5,46.744676995858164,919.9278011380716,3.10.2,Windows-10-10.0.19045-SP0
./data\letters_uniform.txt,lz4,"{""level"": 4}",1025000,936671,0.9138253658536586,7.310602926829269,4.7756121247473935,53.08200783194812,0.01988610008265823,51.5435402486914,0.0009820000268518925,1043.7881588312755,5,49.15570832114594,995.4331044592682,3.10.2,Windows-10-10.0.19045-SP0
./data\letters_gaussian.txt,lz4,"{""level"": 5}",1025000,833821,0.8134839024390244,6.507871219512195,4.388998139753674,48.27691906648744,0.02232360001653433,45.91553330290891,0.0010104000102728605,1014.4497125679924,5,43.78842725117149,967.4538057895348,3.10.2,Windows-10-10.0.19045-SP0
./data\letters_linear.txt,lz4,"{""level"": 5}",1025000,866570,0.8454341463414634,6.763473170731707,4.530482928456603,49.28812838581461,0.020746499998494983,49.40592389436082,0.0010122000239789486,1012.6456981997834,5,47.117120255425064,965.7333650968122,3.10.2,Windows-10-10.0.19045-SP0
./data\letters_uniform.txt,lz4,"{""level"": 5}",1025000,936645,0.9138,7.3104,4.7756121247473935,53.07775860014351,0.019864700036123395,51.59906759911131,0.0009319001110270619,1099.9032920710044,5,49.20866328364788,1048.948619858977,3.10.2,Windows-10-10.0.19045-SP0
