alg,quality,p,dataset,kind,order,bpbit,H_p,gap_abs,gap_pct
brotli,0,0.010000,data\binary\ascii01\p0.01\p0.01_random_10000000B.txt,ascii01,random,0.217442,0.080793,0.136648,169.13
brotli,0,0.050000,data\binary\ascii01\p0.05\p0.05_random_10000000B.txt,ascii01,random,0.694007,0.286397,0.407610,142.32
brotli,0,0.100000,data\binary\ascii01\p0.10\p0.10_random_10000000B.txt,ascii01,random,1.029776,0.468996,0.560780,119.57
brotli,0,0.200000,data\binary\ascii01\p0.20\p0.20_random_10000000B.txt,ascii01,random,1.401466,0.721928,0.679538,94.13
brotli,0,0.300000,data\binary\ascii01\p0.30\p0.30_random_10000000B.txt,ascii01,random,1.540053,0.881291,0.658762,74.75
brotli,0,0.400000,data\binary\ascii01\p0.40\p0.40_random_10000000B.txt,ascii01,random,1.570952,0.970951,0.600001,61.80
brotli,0,0.500000,data\binary\ascii01\p0.50\p0.50_random_10000000B.txt,ascii01,random,1.576487,1.000000,0.576487,57.65
brotli,0,0.600000,data\binary\ascii01\p0.60\p0.60_random_10000000B.txt,ascii01,random,1.570974,0.970951,0.600024,61.80
brotli,0,0.800000,data\binary\ascii01\p0.80\p0.80_random_10000000B.txt,ascii01,random,1.401702,0.721928,0.679774,94.16
brotli,0,0.900000,data\binary\ascii01\p0.90\p0.90_random_10000000B.txt,ascii01,random,1.029082,0.468996,0.560087,119.42
brotli,0,0.950000,data\binary\ascii01\p0.95\p0.95_random_10000000B.txt,ascii01,random,0.693898,0.286397,0.407501,142.29
brotli,0,0.990000,data\binary\ascii01\p0.99\p0.99_random_10000000B.txt,ascii01,random,0.217513,0.080793,0.136720,169.22
brotli,1,0.010000,data\binary\ascii01\p0.01\p0.01_random_10000000B.txt,ascii01,random,0.144345,0.080793,0.063552,78.66
brotli,1,0.050000,data\binary\ascii01\p0.05\p0.05_random_10000000B.txt,ascii01,random,0.597262,0.286397,0.310865,108.54
brotli,1,0.100000,data\binary\ascii01\p0.10\p0.10_random_10000000B.txt,ascii01,random,1.002511,0.468996,0.533516,113.76
brotli,1,0.200000,data\binary\ascii01\p0.20\p0.20_random_10000000B.txt,ascii01,random,1.416852,0.721928,0.694924,96.26
brotli,1,0.300000,data\binary\ascii01\p0.30\p0.30_random_10000000B.txt,ascii01,random,1.582538,0.881291,0.701248,79.57
brotli,1,0.400000,data\binary\ascii01\p0.40\p0.40_random_10000000B.txt,ascii01,random,1.645610,0.970951,0.674659,69.48
brotli,1,0.500000,data\binary\ascii01\p0.50\p0.50_random_10000000B.txt,ascii01,random,1.647214,1.000000,0.647214,64.72
brotli,1,0.600000,data\binary\ascii01\p0.60\p0.60_random_10000000B.txt,ascii01,random,1.630558,0.970951,0.659607,67.93
brotli,1,0.800000,data\binary\ascii01\p0.80\p0.80_random_10000000B.txt,ascii01,random,1.417538,0.721928,0.695610,96.35
brotli,1,0.900000,data\binary\ascii01\p0.90\p0.90_random_10000000B.txt,ascii01,random,1.009104,0.468996,0.540108,115.16
brotli,1,0.950000,data\binary\ascii01\p0.95\p0.95_random_10000000B.txt,ascii01,random,0.602687,0.286397,0.316290,110.44
brotli,1,0.990000,data\binary\ascii01\p0.99\p0.99_random_10000000B.txt,ascii01,random,0.145063,0.080793,0.064270,79.55
brotli,2,0.010000,data\binary\ascii01\p0.01\p0.01_random_10000000B.txt,ascii01,random,0.188988,0.080793,0.108195,133.92
brotli,2,0.050000,data\binary\ascii01\p0.05\p0.05_random_10000000B.txt,ascii01,random,0.647462,0.286397,0.361065,126.07
brotli,2,0.100000,data\binary\ascii01\p0.10\p0.10_random_10000000B.txt,ascii01,random,0.984374,0.468996,0.515379,109.89
brotli,2,0.200000,data\binary\ascii01\p0.20\p0.20_random_10000000B.txt,ascii01,random,1.324750,0.721928,0.602822,83.50
brotli,2,0.300000,data\binary\ascii01\p0.30\p0.30_random_10000000B.txt,ascii01,random,1.453805,0.881291,0.572514,64.96
brotli,2,0.400000,data\binary\ascii01\p0.40\p0.40_random_10000000B.txt,ascii01,random,1.492575,0.970951,0.521625,53.72
brotli,2,0.500000,data\binary\ascii01\p0.50\p0.50_random_10000000B.txt,ascii01,random,1.498678,1.000000,0.498678,49.87
brotli,2,0.600000,data\binary\ascii01\p0.60\p0.60_random_10000000B.txt,ascii01,random,1.492930,0.970951,0.521979,53.76
brotli,2,0.800000,data\binary\ascii01\p0.80\p0.80_random_10000000B.txt,ascii01,random,1.324666,0.721928,0.602738,83.49
brotli,2,0.900000,data\binary\ascii01\p0.90\p0.90_random_10000000B.txt,ascii01,random,0.983868,0.468996,0.514872,109.78
brotli,2,0.950000,data\binary\ascii01\p0.95\p0.95_random_10000000B.txt,ascii01,random,0.647452,0.286397,0.361055,126.07
brotli,2,0.990000,data\binary\ascii01\p0.99\p0.99_random_10000000B.txt,ascii01,random,0.188762,0.080793,0.107968,133.64
brotli,3,0.010000,data\binary\ascii01\p0.01\p0.01_random_10000000B.txt,ascii01,random,0.201453,0.080793,0.120660,149.34
brotli,3,0.050000,data\binary\ascii01\p0.05\p0.05_random_10000000B.txt,ascii01,random,0.652919,0.286397,0.366522,127.98
brotli,3,0.100000,data\binary\ascii01\p0.10\p0.10_random_10000000B.txt,ascii01,random,0.968378,0.468996,0.499382,106.48
brotli,3,0.200000,data\binary\ascii01\p0.20\p0.20_random_10000000B.txt,ascii01,random,1.296290,0.721928,0.574362,79.56
brotli,3,0.300000,data\binary\ascii01\p0.30\p0.30_random_10000000B.txt,ascii01,random,1.445734,0.881291,0.564443,64.05
brotli,3,0.400000,data\binary\ascii01\p0.40\p0.40_random_10000000B.txt,ascii01,random,1.495544,0.970951,0.524593,54.03
brotli,3,0.500000,data\binary\ascii01\p0.50\p0.50_random_10000000B.txt,ascii01,random,1.506819,1.000000,0.506819,50.68
brotli,3,0.600000,data\binary\ascii01\p0.60\p0.60_random_10000000B.txt,ascii01,random,1.495539,0.970951,0.524589,54.03
brotli,3,0.800000,data\binary\ascii01\p0.80\p0.80_random_10000000B.txt,ascii01,random,1.296159,0.721928,0.574231,79.54
brotli,3,0.900000,data\binary\ascii01\p0.90\p0.90_random_10000000B.txt,ascii01,random,0.967695,0.468996,0.498700,106.33
brotli,3,0.950000,data\binary\ascii01\p0.95\p0.95_random_10000000B.txt,ascii01,random,0.652742,0.286397,0.366345,127.91
brotli,3,0.990000,data\binary\ascii01\p0.99\p0.99_random_10000000B.txt,ascii01,random,0.201029,0.080793,0.120236,148.82
brotli,4,0.010000,data\binary\ascii01\p0.01\p0.01_random_10000000B.txt,ascii01,random,0.198683,0.080793,0.117890,145.92
brotli,4,0.050000,data\binary\ascii01\p0.05\p0.05_random_10000000B.txt,ascii01,random,0.611370,0.286397,0.324973,113.47
brotli,4,0.100000,data\binary\ascii01\p0.10\p0.10_random_10000000B.txt,ascii01,random,0.885306,0.468996,0.416311,88.77
brotli,4,0.200000,data\binary\ascii01\p0.20\p0.20_random_10000000B.txt,ascii01,random,1.175990,0.721928,0.454062,62.90
brotli,4,0.300000,data\binary\ascii01\p0.30\p0.30_random_10000000B.txt,ascii01,random,1.313490,0.881291,0.432199,49.04
brotli,4,0.400000,data\binary\ascii01\p0.40\p0.40_random_10000000B.txt,ascii01,random,1.366864,0.970951,0.395913,40.78
brotli,4,0.500000,data\binary\ascii01\p0.50\p0.50_random_10000000B.txt,ascii01,random,1.375836,1.000000,0.375836,37.58
brotli,4,0.600000,data\binary\ascii01\p0.60\p0.60_random_10000000B.txt,ascii01,random,1.367122,0.970951,0.396171,40.80
brotli,4,0.800000,data\binary\ascii01\p0.80\p0.80_random_10000000B.txt,ascii01,random,1.176489,0.721928,0.454561,62.96
brotli,4,0.900000,data\binary\ascii01\p0.90\p0.90_random_10000000B.txt,ascii01,random,0.884906,0.468996,0.415911,88.68
brotli,4,0.950000,data\binary\ascii01\p0.95\p0.95_random_10000000B.txt,ascii01,random,0.611330,0.286397,0.324933,113.46
brotli,4,0.990000,data\binary\ascii01\p0.99\p0.99_random_10000000B.txt,ascii01,random,0.198451,0.080793,0.117658,145.63
brotli,5,0.010000,data\binary\ascii01\p0.01\p0.01_random_10000000B.txt,ascii01,random,0.172401,0.080793,0.091608,113.39
brotli,5,0.050000,data\binary\ascii01\p0.05\p0.05_random_10000000B.txt,ascii01,random,0.533950,0.286397,0.247553,86.44
brotli,5,0.100000,data\binary\ascii01\p0.10\p0.10_random_10000000B.txt,ascii01,random,0.799290,0.468996,0.330294,70.43
brotli,5,0.200000,data\binary\ascii01\p0.20\p0.20_random_10000000B.txt,ascii01,random,1.109483,0.721928,0.387555,53.68
brotli,5,0.300000,data\binary\ascii01\p0.30\p0.30_random_10000000B.txt,ascii01,random,1.255729,0.881291,0.374438,42.49
brotli,5,0.400000,data\binary\ascii01\p0.40\p0.40_random_10000000B.txt,ascii01,random,1.306220,0.970951,0.335269,34.53
brotli,5,0.500000,data\binary\ascii01\p0.50\p0.50_random_10000000B.txt,ascii01,random,1.303704,1.000000,0.303704,30.37
brotli,5,0.600000,data\binary\ascii01\p0.60\p0.60_random_10000000B.txt,ascii01,random,1.306311,0.970951,0.335361,34.54
brotli,5,0.800000,data\binary\ascii01\p0.80\p0.80_random_10000000B.txt,ascii01,random,1.109841,0.721928,0.387913,53.73
brotli,5,0.900000,data\binary\ascii01\p0.90\p0.90_random_10000000B.txt,ascii01,random,0.799400,0.468996,0.330404,70.45
brotli,5,0.950000,data\binary\ascii01\p0.95\p0.95_random_10000000B.txt,ascii01,random,0.534234,0.286397,0.247837,86.54
brotli,5,0.990000,data\binary\ascii01\p0.99\p0.99_random_10000000B.txt,ascii01,random,0.172341,0.080793,0.091548,113.31
brotli,6,0.010000,data\binary\ascii01\p0.01\p0.01_random_10000000B.txt,ascii01,random,0.166021,0.080793,0.085228,105.49
brotli,6,0.050000,data\binary\ascii01\p0.05\p0.05_random_10000000B.txt,ascii01,random,0.506516,0.286397,0.220119,76.86
brotli,6,0.100000,data\binary\ascii01\p0.10\p0.10_random_10000000B.txt,ascii01,random,0.767958,0.468996,0.298962,63.75
brotli,6,0.200000,data\binary\ascii01\p0.20\p0.20_random_10000000B.txt,ascii01,random,1.076186,0.721928,0.354258,49.07
brotli,6,0.300000,data\binary\ascii01\p0.30\p0.30_random_10000000B.txt,ascii01,random,1.225900,0.881291,0.344609,39.10
brotli,6,0.400000,data\binary\ascii01\p0.40\p0.40_random_10000000B.txt,ascii01,random,1.278589,0.970951,0.307638,31.68
brotli,6,0.500000,data\binary\ascii01\p0.50\p0.50_random_10000000B.txt,ascii01,random,1.277098,1.000000,0.277098,27.71
brotli,6,0.600000,data\binary\ascii01\p0.60\p0.60_random_10000000B.txt,ascii01,random,1.278483,0.970951,0.307533,31.67
brotli,6,0.800000,data\binary\ascii01\p0.80\p0.80_random_10000000B.txt,ascii01,random,1.076514,0.721928,0.354586,49.12
brotli,6,0.900000,data\binary\ascii01\p0.90\p0.90_random_10000000B.txt,ascii01,random,0.768181,0.468996,0.299185,63.79
brotli,6,0.950000,data\binary\ascii01\p0.95\p0.95_random_10000000B.txt,ascii01,random,0.506720,0.286397,0.220323,76.93
brotli,6,0.990000,data\binary\ascii01\p0.99\p0.99_random_10000000B.txt,ascii01,random,0.165929,0.080793,0.085136,105.37
brotli,7,0.010000,data\binary\ascii01\p0.01\p0.01_random_10000000B.txt,ascii01,random,0.157134,0.080793,0.076340,94.49
brotli,7,0.050000,data\binary\ascii01\p0.05\p0.05_random_10000000B.txt,ascii01,random,0.483758,0.286397,0.197361,68.91
brotli,7,0.100000,data\binary\ascii01\p0.10\p0.10_random_10000000B.txt,ascii01,random,0.742402,0.468996,0.273406,58.30
brotli,7,0.200000,data\binary\ascii01\p0.20\p0.20_random_10000000B.txt,ascii01,random,1.049024,0.721928,0.327096,45.31
