alg,quality,p,dataset,kind,order,bpbit,H_p,gap_abs,gap_pct
lz4,0,0.010000,data\binary\ascii01\p0.01\p0.01_random_10000000B.txt,ascii01,random,0.435186,0.080793,0.354392,438.64
lz4,0,0.050000,data\binary\ascii01\p0.05\p0.05_random_10000000B.txt,ascii01,random,1.545566,0.286397,1.259169,439.66
lz4,0,0.100000,data\binary\ascii01\p0.10\p0.10_random_10000000B.txt,ascii01,random,2.350898,0.468996,1.881902,401.26
lz4,0,0.200000,data\binary\ascii01\p0.20\p0.20_random_10000000B.txt,ascii01,random,3.272783,0.721928,2.550855,353.34
lz4,0,0.300000,data\binary\ascii01\p0.30\p0.30_random_10000000B.txt,ascii01,random,3.734369,0.881291,2.853078,323.74
lz4,0,0.400000,data\binary\ascii01\p0.40\p0.40_random_10000000B.txt,ascii01,random,3.941889,0.970951,2.970938,305.98
lz4,0,0.500000,data\binary\ascii01\p0.50\p0.50_random_10000000B.txt,ascii01,random,4.000398,1.000000,3.000398,300.04
lz4,0,0.600000,data\binary\ascii01\p0.60\p0.60_random_10000000B.txt,ascii01,random,3.942893,0.970951,2.971942,306.09
lz4,0,0.800000,data\binary\ascii01\p0.80\p0.80_random_10000000B.txt,ascii01,random,3.273281,0.721928,2.551353,353.41
lz4,0,0.900000,data\binary\ascii01\p0.90\p0.90_random_10000000B.txt,ascii01,random,2.348793,0.468996,1.879797,400.81
lz4,0,0.950000,data\binary\ascii01\p0.95\p0.95_random_10000000B.txt,ascii01,random,1.544964,0.286397,1.258567,439.45
lz4,0,0.990000,data\binary\ascii01\p0.99\p0.99_random_10000000B.txt,ascii01,random,0.434805,0.080793,0.354012,438.17
lz4,1,0.010000,data\binary\ascii01\p0.01\p0.01_random_10000000B.txt,ascii01,random,0.435186,0.080793,0.354392,438.64
lz4,1,0.050000,data\binary\ascii01\p0.05\p0.05_random_10000000B.txt,ascii01,random,1.545566,0.286397,1.259169,439.66
lz4,1,0.100000,data\binary\ascii01\p0.10\p0.10_random_10000000B.txt,ascii01,random,2.350898,0.468996,1.881902,401.26
lz4,1,0.200000,data\binary\ascii01\p0.20\p0.20_random_10000000B.txt,ascii01,random,3.272783,0.721928,2.550855,353.34
lz4,1,0.300000,data\binary\ascii01\p0.30\p0.30_random_10000000B.txt,ascii01,random,3.734369,0.881291,2.853078,323.74
lz4,1,0.400000,data\binary\ascii01\p0.40\p0.40_random_10000000B.txt,ascii01,random,3.941889,0.970951,2.970938,305.98
lz4,1,0.500000,data\binary\ascii01\p0.50\p0.50_random_10000000B.txt,ascii01,random,4.000398,1.000000,3.000398,300.04
lz4,1,0.600000,data\binary\ascii01\p0.60\p0.60_random_10000000B.txt,ascii01,random,3.942893,0.970951,2.971942,306.09
lz4,1,0.800000,data\binary\ascii01\p0.80\p0.80_random_10000000B.txt,ascii01,random,3.273281,0.721928,2.551353,353.41
lz4,1,0.900000,data\binary\ascii01\p0.90\p0.90_random_10000000B.txt,ascii01,random,2.348793,0.468996,1.879797,400.81
