dataset,alg,params,original_bytes,compressed_bytes,ratio,bpb,entropy_bpb,%_over_entropy,comp_time_s,comp_MB_s,decomp_time_s,decomp_MB_s,repeats,comp_MiB_s,decomp_MiB_s,env_python,env_platform
data\kary\K256\histperm\H04.000_alt_N10000000_seed123.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,4782,0.0004782,0.0038256,3.9999997303018477,-99.90435999355152,0.0026148000033572316,3824.3842692216062,0.010599499990348704,943.4407291952853,5,3647.2139231959113,899.7344202368805,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\histperm\H04.000_alt_N10000000_seed456.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,4782,0.0004782,0.0038256,3.9999997303018477,-99.90435999355152,0.0024397999950451776,4098.696622800358,0.012733800002024509,785.3115329603205,5,3908.818344940041,748.9307965494191,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\histperm\H04.000_blocks_N10000000_seed123.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,7738,0.0007738,0.0061904,3.9999997303018477,-99.84523998956539,0.0029688999929931015,3368.2508752740046,0.01472410000860691,679.1586578571554,5,3212.211593898364,647.6956128417053,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\histperm\H04.000_blocks_N10000000_seed456.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,7738,0.0007738,0.0061904,3.9999997303018477,-99.84523998956539,0.0030939999996917322,3232.062055913491,0.015604400003212504,640.8448897709161,5,3082.3319261691645,611.1567876146387,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\histperm\H04.000_random_N10000000_seed123.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,6035391,0.6035391,4.8283128,3.9999997303018477,20.70782813866955,0.06822830000601243,146.56674721660627,0.08993339999869931,111.19339422444418,5,139.77682248827557,106.04219320914298,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\histperm\H04.000_random_N10000000_seed456.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,6037367,0.6037367,4.8298936,3.9999997303018477,20.747348141334175,0.061189500003820285,163.42673170030255,0.08178059999772813,122.27838876552386,5,155.85574286473656,116.61365872691252,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\iid_peaked\H0.500_q0.000138_N10000000_seed123.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1076663,0.1076663,0.8613304,0.4999999836933971,72.2660856181493,0.02067749999696389,483.61745866126546,0.031562500007566996,316.8316830923576,5,461.2131534284853,302.15397944810496,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\iid_peaked\H0.500_q0.000138_N10000000_seed456.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1076532,0.1076532,0.8612256,0.4999999836933971,72.24512561746573,0.02190849999897182,456.44384601726756,0.03549059999932069,281.76474898117823,5,435.2983992087444,268.71157373501006,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\iid_peaked\H1.000_q0.000300_N10000000_seed123.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1991721,0.1991721,1.5933768,0.9999997231123103,59.3377241186543,0.03095960000064224,323.0015891611182,0.03859589999774471,259.09487796849754,5,308.0380553501782,247.09191855027285,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\iid_peaked\H1.000_q0.000300_N10000000_seed456.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1991473,0.1991473,1.5931784,0.9999997231123103,59.31788411316086,0.0309038999985205,323.58375481666525,0.036760699993465096,272.02964039797087,5,308.59325130723875,259.427458680399,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\iid_peaked\H2.000_q0.000660_N10000000_seed123.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,3575320,0.357532,2.860256,2.0000005353257113,43.01276172079581,0.048666300004697405,205.48100017948298,0.06022790000133682,166.03600656469908,5,195.9617841852925,158.34413915154826,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\iid_peaked\H2.000_q0.000660_N10000000_seed456.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,3576839,0.3576839,2.8614712,2.0000005353257113,43.07352170453262,0.048527199993259273,206.0699978854964,0.05495080001128372,181.98097203219203,5,196.52349568781884,173.5504301422166,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\iid_peaked\H4.000_q0.001492_N10000000_seed123.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,6035391,0.6035391,4.8283128,3.9999997303018477,20.70782813866955,0.06056670000543818,165.10722887497778,0.08164129999931902,122.48702556283905,5,157.45838848345582,116.81263011119077,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\iid_peaked\H4.000_q0.001492_N10000000_seed456.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,6037367,0.6037367,4.8298936,3.9999997303018477,20.747348141334175,0.05922900000587106,168.83621197401195,0.08054419999825768,124.15543267195302,5,161.01462083897897,118.40374575479684,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\iid_peaked\H7.500_q0.003402_N10000000_seed123.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,9804905,0.9804905,7.843924,7.499999838767882,4.585655581675577,0.023006800009170547,434.6541020921634,0.028047800005879253,356.53420225129406,5,414.5180979021791,340.01721976832994,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\iid_peaked\H7.500_q0.003402_N10000000_seed456.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,9775779,0.9775779,7.8206232,7.499999838767882,4.274978241663417,0.024691300000995398,405.00095173590955,0.03110039999592118,321.53927284895053,5,386.23867427931094,306.64348303777297,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\zipf\H3.916_s1.5000_N10000000_seed123.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,5871627,0.5871627,4.6973016,3.915697694186467,19.960782646064832,0.05918910000764299,168.95002624991284,0.07221270000445656,138.47979648154487,5,161.123162497584,132.06451189373416,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\zipf\H3.916_s1.5000_N10000000_seed456.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,5869252,0.5869252,4.6954016,3.915697694186467,19.91226000339962,0.05933420000656042,168.536864049643,0.07195070000307169,138.9840543535099,5,160.7291406568684,132.54540926231536,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\zipf\H5.290_s1.2000_N10000000_seed123.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,7121807,0.7121807,5.6974456,5.289779036973548,7.706684157826205,0.05353969999123365,186.77728865939397,0.0680222000082722,147.0108287997727,5,178.12455019693263,140.20033132502988,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\zipf\H5.290_s1.2000_N10000000_seed456.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,7122938,0.7122938,5.6983504,5.289779036973548,7.72378884204223,0.053473300009500235,187.00921765111502,0.06676649999280926,149.77571088909855,5,178.34573472972278,142.83712609833248,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\zipf\H6.222_s1.0000_N10000000_seed123.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,8115799,0.8115799,6.4926392,6.221679307561702,4.355092556907887,0.03743909999320749,267.10043782607704,0.06894289999036118,145.0475683703193,5,254.72660882199207,138.32802188405955,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\zipf\H6.222_s1.0000_N10000000_seed456.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,8128468,0.8128468,6.5027744,6.221679307561702,4.517993913583111,0.037294100009603426,268.1389280724015,0.06706020000274293,149.1197461324448,5,255.71698944769955,142.21154989438048,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\zipf\H6.998_s0.8000_N10000000_seed123.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,8970594,0.8970594,7.1764752,6.997877590465821,2.5521682428041736,0.03632179999840446,275.3167519351816,0.06762250000610948,147.8797737305857,5,262.56228983795245,141.02902107664752,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\zipf\H6.998_s0.8000_N10000000_seed456.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,8973007,0.8973007,7.1784056,6.997877590465821,2.5797537496245564,0.03605059999972582,277.3878936848778,0.06812239999999292,146.79459326155623,5,264.5374828349526,139.994113222937,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\zipf\H7.708_s0.5000_N10000000_seed123.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,10000013,1.0000013,8.0000104,7.707585955426407,3.7939822697366945,0.019665599989821203,508.5021563123393,0.00938299999688752,1065.7572208586964,5,484.94503008061633,1016.3844166876999,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\zipf\H7.708_s0.5000_N10000000_seed456.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,10000013,1.0000013,8.0000104,7.707585955426407,3.7939822697366945,0.015263399996911176,655.1620217005176,0.009289900001022033,1076.4378517421978,5,624.8106569012895,1026.5702513017386,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K64\markov_persistent\Hrate1.000_rho0.905775_N13333333_seed123.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,3496138,0.3496138,2.7969104,6.480910453436432,-56.84386599544871,0.04294320000917651,232.86573887980182,0.04962580000574235,201.50808649619492,5,222.0778837296548,192.17292169624847,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K64\markov_persistent\Hrate1.000_rho0.905775_N13333333_seed456.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,3495504,0.3495504,2.7964032,6.480709752965478,-56.85035580060646,0.04302320000715554,232.43273392813222,0.04992619999393355,200.29563638360386,5,221.66493838280462,191.0166401563909,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K64\markov_persistent\Hrate2.000_rho0.786243_N13333333_seed123.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,6295795,0.6295795,5.036636,6.889986989987952,-26.899194333474245,0.0558896000002278,178.92416478126952,0.07420049999200273,134.769981348883,5,170.63523407894027,128.52655951974816,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K64\markov_persistent\Hrate2.000_rho0.786243_N13333333_seed456.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,6292674,0.6292674,5.0341392,6.889513291261684,-26.930408765085744,0.05553529999451712,180.06565195447362,0.07432179999887012,134.5500243555999,5,171.72384014417412,128.31679236458473,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K64\markov_persistent\Hrate3.000_rho0.648299_N13333333_seed123.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,8327733,0.8327733,6.6621864,7.251068112671752,-8.121309902504423,0.05965120000473689,167.64122095122818,0.07621700000890996,131.20432447919723,5,159.8749895703674,125.12608706066025,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K64\markov_persistent\Hrate3.000_rho0.648299_N13333333_seed456.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,8321064,0.8321064,6.6568512,7.251004698469389,-8.194085139605665,0.05959059999440797,167.81170186134068,0.07558549998793751,132.30050739355926,5,160.03757269623307,126.17148765489615,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K64\markov_persistent\Hrate5.000_rho0.302724_N13333333_seed123.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,9993678,0.9993678,7.9949424,7.827393506591307,2.140545167016363,0.018401699999230914,543.428052865656,0.01459459999750834,685.1849315299664,5,518.2529320125745,653.442710334327,3.10.8,Windows-10-10.0.19045-SP0
