dataset,alg,params,original_bytes,compressed_bytes,ratio,bpb,entropy_bpb,%_over_entropy,comp_time_s,comp_MB_s,decomp_time_s,decomp_MB_s,repeats,comp_MiB_s,decomp_MiB_s,env_python,env_platform
data\kary\K256\histperm\H04.000_alt_N10000000_seed123.bin,lz4,"{""level"": 0}",10000000,41484,0.0041484,0.0331872,3.9999997303018477,-99.1703199440592,0.0008895999926608056,11241.007286982844,0.006514900000183843,1534.942976825095,5,10720.250738866025,1463.8344377270712,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\histperm\H04.000_alt_N10000000_seed456.bin,lz4,"{""level"": 0}",10000000,41484,0.0041484,0.0331872,3.9999997303018477,-99.1703199440592,0.0008934999932534993,11191.941886409002,0.006688300010864623,1495.1482415196356,5,10673.458366676783,1425.8832533118323,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\histperm\H04.000_blocks_N10000000_seed123.bin,lz4,"{""level"": 0}",10000000,42386,0.0042386,0.0339088,3.9999997303018477,-99.15227994284287,0.0009237999911420047,10824.85396826857,0.00650869999662973,1536.4051200974236,5,10323.37634776102,1465.2288450159676,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\histperm\H04.000_blocks_N10000000_seed456.bin,lz4,"{""level"": 0}",10000000,42386,0.0042386,0.0339088,3.9999997303018477,-99.15227994284287,0.0010138000070583075,9863.878408342585,0.00674280000384897,1483.063414945087,5,9406.91942416678,1414.3582744814305,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\histperm\H04.000_random_N10000000_seed123.bin,lz4,"{""level"": 0}",10000000,8013975,0.8013975,6.41118,3.9999997303018477,60.279510806771974,0.032039900004747324,312.11083675411936,0.00974520000454504,1026.146204832751,5,297.65183340784967,978.6084404803797,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\histperm\H04.000_random_N10000000_seed456.bin,lz4,"{""level"": 0}",10000000,8012614,0.8012614,6.4100912,3.9999997303018477,60.25229080493668,0.03188499998941552,313.6270974853248,0.01006230000348296,993.8085722487507,5,299.0978510830487,947.7688973014291,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\iid_peaked\H0.500_q0.000138_N10000000_seed123.bin,lz4,"{""level"": 0}",10000000,1577485,0.1577485,1.261988,0.4999999836933971,152.39760823149518,0.01119509999989532,893.2479388387335,0.010577299995929934,945.4208544569905,5,851.8668862901078,901.6228132214153,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\iid_peaked\H0.500_q0.000138_N10000000_seed456.bin,lz4,"{""level"": 0}",10000000,1577996,0.1577996,1.2623968,0.4999999836933971,152.47936823416163,0.011310800007777289,884.1107607882745,0.0113431999925524,881.5854438399831,5,843.1530017381411,840.7446738908545,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\iid_peaked\H1.000_q0.000300_N10000000_seed123.bin,lz4,"{""level"": 0}",10000000,2766664,0.2766664,2.2133312,0.9999997231123103,121.3331812844332,0.019678999989992008,508.1559024892332,0.012460099998861551,802.5617772661275,5,484.61481698598675,765.3818973755074,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\iid_peaked\H1.000_q0.000300_N10000000_seed456.bin,lz4,"{""level"": 0}",10000000,2766707,0.2766707,2.2133656,0.9999997231123103,121.33662128538569,0.01946539999335073,513.7320580833656,0.012147699992056005,823.2011003350021,5,489.9326487960641,785.0650728000992,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\iid_peaked\H2.000_q0.000660_N10000000_seed123.bin,lz4,"{""level"": 0}",10000000,4712728,0.4712728,3.7701824,2.0000005353257113,88.50906954312413,0.03209339999011718,311.5905451924506,0.012291599996387959,813.5637348220432,5,297.1556451343251,775.8741727211836,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\iid_peaked\H2.000_q0.000660_N10000000_seed456.bin,lz4,"{""level"": 0}",10000000,4713994,0.4713994,3.7711952,2.0000005353257113,88.5597095295697,0.03296670000418089,303.3363969924737,0.012165500011178665,821.9966290584995,5,289.28388274858406,783.9164004647629,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\iid_peaked\H4.000_q0.001492_N10000000_seed123.bin,lz4,"{""level"": 0}",10000000,8013975,0.8013975,6.41118,3.9999997303018477,60.279510806771974,0.032417299997177906,308.47726371013476,0.009756500003277324,1024.957720149734,5,294.18659109325677,977.4750141355721,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\iid_peaked\H4.000_q0.001492_N10000000_seed456.bin,lz4,"{""level"": 0}",10000000,8012614,0.8012614,6.4100912,3.9999997303018477,60.25229080493668,0.03439250000519678,290.76106704918163,0.010005100004491396,999.4902595187348,5,277.2911238547995,953.1873718739512,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\iid_peaked\H7.500_q0.003402_N10000000_seed123.bin,lz4,"{""level"": 0}",10000000,10000631,1.0000631,8.0005048,7.499999838767882,6.6733996265570905,0.00899270000809338,1112.0130762729832,0.006868099997518584,1456.0067563973964,5,1060.4974001172288,1388.5550562838039,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\iid_peaked\H7.500_q0.003402_N10000000_seed456.bin,lz4,"{""level"": 0}",10000000,10000631,1.0000631,8.0005048,7.499999838767882,6.6733996265570905,0.008696500008227304,1149.887884843273,0.0067512999958125874,1481.196214981171,5,1096.6176012873002,1412.5775753606351,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\zipf\H3.916_s1.5000_N10000000_seed123.bin,lz4,"{""level"": 0}",10000000,8743000,0.8743,6.9944,3.915697694186467,78.62461676713195,0.03164620000461582,315.9937053592984,0.009154899991699494,1092.3112223035462,5,301.3548222922882,1041.708264127835,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\zipf\H3.916_s1.5000_N10000000_seed456.bin,lz4,"{""level"": 0}",10000000,8741111,0.8741111,6.9928888,3.915697694186467,78.58602338945005,0.03174570000555832,315.0032917292456,0.009007800006656907,1110.1489811729657,5,300.4102910613858,1058.7196620228483,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\zipf\H5.290_s1.2000_N10000000_seed123.bin,lz4,"{""level"": 0}",10000000,9950582,0.9950582,7.9604656,5.289779036973548,50.48767716684131,0.018224999992526136,548.6968452181555,0.0070552000106545165,1417.3942602475265,5,523.2776396448899,1351.7313420193852,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\zipf\H5.290_s1.2000_N10000000_seed456.bin,lz4,"{""level"": 0}",10000000,9948650,0.994865,7.95892,5.289779036973548,50.45845855507706,0.018079699992085807,553.1065230273396,0.007233099997392856,1382.5330776021988,5,527.4830325056175,1318.4851560264192,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\zipf\H6.222_s1.0000_N10000000_seed123.bin,lz4,"{""level"": 0}",10000000,10000631,1.0000631,8.0005048,6.221679307561702,28.590761505118873,0.00962670000444632,1038.7775660798884,0.006865699993795715,1456.5157244034312,5,990.6546349436924,1389.040445582419,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\zipf\H6.222_s1.0000_N10000000_seed456.bin,lz4,"{""level"": 0}",10000000,10000631,1.0000631,8.0005048,6.221679307561702,28.590761505118873,0.0095792999927653,1043.917614810313,0.00722660000610631,1383.7766019359356,5,995.556563195616,1319.6710722274502,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\zipf\H6.998_s0.8000_N10000000_seed123.bin,lz4,"{""level"": 0}",10000000,10000631,1.0000631,8.0005048,6.997877590465821,14.327589995289387,0.008922499997424893,1120.7621185638645,0.007031700006336905,1422.1312045434374,5,1068.8411298817139,1356.2488402552428,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\zipf\H6.998_s0.8000_N10000000_seed456.bin,lz4,"{""level"": 0}",10000000,10000631,1.0000631,8.0005048,6.997877590465821,14.327589995289387,0.00924299999314826,1081.8998168790324,0.00864299999375362,1157.005670163959,5,1031.7791826989824,1103.4056445111075,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\zipf\H7.708_s0.5000_N10000000_seed123.bin,lz4,"{""level"": 0}",10000000,10000631,1.0000631,8.0005048,7.707585955426407,3.8003967295021557,0.008949299997766502,1117.4058309024979,0.006984399995417334,1431.7622138710967,5,1065.6403272878679,1365.4336786086903,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\zipf\H7.708_s0.5000_N10000000_seed456.bin,lz4,"{""level"": 0}",10000000,10000631,1.0000631,8.0005048,7.707585955426407,3.8003967295021557,0.00869480000983458,1150.1127097448043,0.007289300003321841,1371.8738418562623,5,1096.83201083755,1308.3197253880594,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K64\markov_persistent\Hrate1.000_rho0.905775_N13333333_seed123.bin,lz4,"{""level"": 0}",10000000,4755002,0.4755002,3.8040016,6.480910453436432,-41.30451844180366,0.029754900009720586,336.0790994670832,0.00962160000926815,1039.3281772644207,5,320.5097303469905,991.1797382380071,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K64\markov_persistent\Hrate1.000_rho0.905775_N13333333_seed456.bin,lz4,"{""level"": 0}",10000000,4752138,0.4752138,3.8017104,6.480709752965478,-41.33805485949446,0.029900199995609,334.4459234877543,0.010020300003816374,997.9741121714278,5,318.9522136981602,951.7414623299712,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K64\markov_persistent\Hrate2.000_rho0.786243_N13333333_seed123.bin,lz4,"{""level"": 0}",10000000,7646112,0.7646112,6.1168896,6.889986989987952,-11.220592885173259,0.03108409998822026,321.707882930168,0.009414700005436316,1062.1687355120944,5,306.8042820037024,1012.9621733151804,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K64\markov_persistent\Hrate2.000_rho0.786243_N13333333_seed456.bin,lz4,"{""level"": 0}",10000000,7645010,0.764501,6.116008,6.889513291261684,-11.227284984597675,0.030898299999535084,323.64240104311455,0.009329200009233318,1071.9032703878977,5,308.649180659153,1022.2457412402447,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K64\markov_persistent\Hrate3.000_rho0.648299_N13333333_seed123.bin,lz4,"{""level"": 0}",10000000,9347794,0.9347794,7.4782352,7.251068112671752,3.1328775815973624,0.028966800004127435,345.2228067503181,0.009241399995516986,1082.0871301806017,5,329.2298416552169,1031.957818430486,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K64\markov_persistent\Hrate3.000_rho0.648299_N13333333_seed456.bin,lz4,"{""level"": 0}",10000000,9346443,0.9346443,7.4771544,7.251004698469389,3.118874017256515,0.028908000007504597,345.9250033694469,0.009272399998735636,1078.4694363232363,5,329.8995079611681,1028.5077196753396,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K64\markov_persistent\Hrate5.000_rho0.302724_N13333333_seed123.bin,lz4,"{""level"": 0}",10000000,10000631,1.0000631,8.0005048,7.827393506591307,2.211608414255889,0.011597899996559136,862.22505824044,0.0078000000066822395,1282.051280952952,5,822.2811872361867,1222.658329544502,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K64\markov_persistent\Hrate5.000_rho0.302724_N13333333_seed456.bin,lz4,"{""level"": 0}",10000000,10000631,1.0000631,8.0005048,7.827467646446542,2.2106402909504457,0.008900200002244674,1123.570256564791,0.007327600003918633,1364.703312769833,5,1071.5191766715354,1301.4813818326852,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\histperm\H04.000_alt_N10000000_seed123.bin,lz4,"{""level"": 1}",10000000,41484,0.0041484,0.0331872,3.9999997303018477,-99.1703199440592,0.000995199996395968,10048.231547642834,0.00749839999480173,1333.6178393967386,5,9582.732127365038,1271.835989708279,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\histperm\H04.000_alt_N10000000_seed456.bin,lz4,"{""level"": 1}",10000000,41484,0.0041484,0.0331872,3.9999997303018477,-99.1703199440592,0.0010037000029115006,9963.136366436507,0.007869599998230115,1270.7126159206332,5,9501.579108252823,1211.8449452020482,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\histperm\H04.000_blocks_N10000000_seed123.bin,lz4,"{""level"": 1}",10000000,42386,0.0042386,0.0339088,3.9999997303018477,-99.15227994284287,0.0009186999959638342,10884.946167338028,0.006473200002801605,1544.8309948204899,5,10380.684685441793,1473.264378435659,3.10.8,Windows-10-10.0.19045-SP0
data\kary\K256\histperm\H04.000_blocks_N10000000_seed456.bin,lz4,"{""level"": 1}",10000000,42386,0.0042386,0.0339088,3.9999997303018477,-99.15227994284287,0.0008981999999377877,11133.377867615936,0.006628199989791028,1508.7052314960818,5,10617.607414025559,1438.812195363146,3.10.8,Windows-10-10.0.19045-SP0
