dataset,alg,params,original_bytes,compressed_bytes,ratio,bpb,entropy_bpb,%_over_entropy,comp_time_s,comp_MB_s,decomp_time_s,decomp_MB_s,repeats,comp_MiB_s,decomp_MiB_s,env_python,env_platform
data\binary\ascii01\p0.01\p0.01_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,271802,0.0271802,0.2174416,0.08079313589591118,169.13375448149228,0.0068395999987842515,1462.0738057455867,0.01782159999856958,561.1168470172505,5,1394.3410404573922,535.1222662040816,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.05\p0.05_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,867509,0.0867509,0.6940072,0.28639695711595625,142.3235243100054,0.018877800001064315,529.7227430863876,0.028098999995563645,355.88455110782695,5,505.18254129610114,339.3976646899498,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.10\p0.10_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1287220,0.128722,1.029776,0.4689955935892812,119.57050643461211,0.022177999999257736,450.89728561343156,0.0331949999963399,301.2501883145837,5,430.0087915473168,287.2943208214712,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.20\p0.20_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1751833,0.1751833,1.4014664,0.7219280948873623,94.12825320486543,0.024196400001528673,413.2846208265785,0.03666660000453703,272.7277685621963,5,394.1385899561382,260.0932450087317,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.30\p0.30_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1925066,0.1925066,1.5400528,0.8812908992306927,74.74965432462332,0.025431400004890747,393.2146872793824,0.0383196000038879,260.96305804302244,5,374.9984262283315,248.87355237658056,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.40\p0.40_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1963690,0.196369,1.570952,0.9709505944546686,61.795256007059784,0.026032099995063618,384.1411181539817,0.037476400000741705,266.83459456623604,5,366.34520382242044,254.4730811504965,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.50\p0.50_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1970609,0.1970609,1.5764872,1.0,57.64872000000001,0.02621940000244649,381.39698082591195,0.0374558999974397,266.980635912728,5,363.7281927781472,254.612356912238,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.60\p0.60_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1963718,0.1963718,1.5709744,0.9709505944546686,61.79756302454638,0.025781500000448432,387.87502665966156,0.03765890000067884,265.541478901926,5,369.9061334077278,253.23987101177414,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.80\p0.80_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1752128,0.1752128,1.4017024,0.7219280948873623,94.16094344114678,0.024512600000889506,407.95346065440316,0.03719860000273911,268.8273214385394,5,389.0544037870787,256.37349195708913,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.90\p0.90_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1286353,0.1286353,1.0290824,0.4689955935892812,119.42261591933206,0.02256590000615688,443.14651741218387,0.032712399995944,305.69447675009775,5,422.6170893257175,291.5327209192743,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.95\p0.95_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,867373,0.0867373,0.6938984,0.28639695711595625,142.28553507956957,0.018718300001637544,534.2365492125441,0.027235100002144463,367.1732433224997,5,509.48723857310245,350.1633912806011,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.99\p0.99_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,271891,0.0271891,0.2175128,0.08079313589591118,169.22188077985965,0.007124600000679493,1403.5875696946175,0.018047799996566027,554.0841544067814,5,1338.5642671458982,528.4153736428692,3.10.8,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.01\p0.01_random_10000000B.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1516145,0.1516145,1.212916,0.6463345554604936,87.66070756279379,0.024114399995596614,414.68997784834124,0.03156160000071395,316.8407178271631,5,395.47884170282725,302.1625956352492,3.10.8,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.05\p0.05_random_10000000B.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,4104296,0.4104296,3.2834368,2.291160100889569,43.30892017215072,0.05221950000122888,191.49934411023986,0.051172800005588215,195.4163148959598,5,182.62784933583782,186.36336056607755,3.10.8,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.10\p0.10_random_10000000B.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,5689220,0.568922,4.551376,3.7519456376681077,21.307088095997866,0.058862499994575046,169.88744958032078,0.06552679999731481,152.6093140579089,5,162.01715828407131,145.53945834388392,3.10.8,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.20\p0.20_random_10000000B.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,7432515,0.7432515,5.946012,5.775409955115091,2.9539382695043526,0.03702099999645725,270.1169606698079,0.057011400000192225,175.40351578747905,5,257.6033867137526,167.27768443828876,3.10.8,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.30\p0.30_random_10000000B.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,9017096,0.9017096,7.2136768,7.050309204593689,2.317169228547699,0.04253949999838369,235.07563559468153,0.06581029999506427,151.9518981185315,5,224.18540365964725,144.9124981854278,3.10.8,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.40\p0.40_random_10000000B.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,10000013,1.0000013,8.0000104,7.767587988589667,2.992208285915201,0.016061700000136625,622.5991022067986,0.009461500005272683,1056.9148649185884,5,593.7562635671248,1007.9516961689586,3.10.8,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.50\p0.50_random_10000000B.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,10000013,1.0000013,8.0000104,7.999980814915114,0.00036981444795042745,0.01998240000102669,500.4403875153236,0.011139199996250682,897.7305375041186,5,477.25673483301387,856.1418218388358,3.10.8,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.60\p0.60_random_10000000B.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,10000013,1.0000013,8.0000104,7.767587425586726,2.992215750899244,0.016629899997496977,601.3265264075632,0.00945089999731863,1058.1002870453776,5,573.4691717961393,1009.0822018350565,3.10.8,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.80\p0.80_random_10000000B.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,7433169,0.7433169,5.9465352,5.775405342017996,2.9630796082307267,0.039683399998466484,251.9945367681811,0.06169249999948079,162.09425781228126,5,240.32051132175536,154.58499783113788,3.10.8,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.90\p0.90_random_10000000B.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,5688005,0.5688005,4.550404,3.7519466029790745,21.28115033372129,0.063510200001474,157.45502296903348,0.06819550000363961,146.6372414523876,5,150.1606825107758,139.84405097269223,3.10.8,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.95\p0.95_random_10000000B.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,4104515,0.4104515,3.283612,2.2911575074364627,43.31672917912911,0.05597789999592351,178.64192834544048,0.05521460000454681,181.11151759093647,5,170.36607266995918,172.72125448399302,3.10.8,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.99\p0.99_random_10000000B.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1517374,0.1517374,1.2138992,0.6463368612978303,87.81215689331363,0.02633849999983795,379.672342770527,0.03465320000395877,288.57363818803464,5,362.08345117132285,275.2050309214658,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.01\p0.01_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",10000000,180431,0.0180431,0.1443448,0.08079313589591118,78.65973191827187,0.007165900002291892,1395.4981226086982,0.02596310000080848,385.1620183910474,5,1330.849575847702,367.31880932247077,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.05\p0.05_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",10000000,746577,0.0746577,0.5972616,0.28639695711595625,108.54327714039957,0.022197199999936856,450.5072711886385,0.0335103999968851,298.4148205013826,5,429.63684512660785,284.59030568133124,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.10\p0.10_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",10000000,1253139,0.1253139,1.0025112,0.4689955935892812,113.75706162347028,0.03518989999429323,284.17244725394806,0.04436510000232374,225.40239962214045,5,271.0077317685981,214.96029487407216,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.20\p0.20_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",10000000,1771065,0.1771065,1.416852,0.7219280948873623,96.25943498168776,0.04567410000163363,218.9424641020256,0.05092080000031274,196.38340324461876,5,208.7996255706431,187.28564709428446,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.30\p0.30_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",10000000,1978173,0.1978173,1.5825384,0.8812908992306927,79.5704915801864,0.04885410000133561,204.69111087353184,0.050762200000463054,196.99697806455944,5,195.2084876879625,187.87079713901716,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.40\p0.40_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",10000000,2057012,0.2057012,1.6456096,0.9709505944546686,69.48438050282584,0.050168800000392366,199.32707180402542,0.04969870000059018,201.2125065621686,5,190.09294578587938,191.89103494666784,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.50\p0.50_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",10000000,2059018,0.2059018,1.6472144,1.0,64.72144,0.050319499998295214,198.73011457464386,0.0486767000038526,205.43709822581508,5,189.52364349686124,195.91991605557504,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.60\p0.60_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",10000000,2038197,0.2038197,1.6305576,0.9709505944546686,67.93414714533417,0.04950310000276659,202.00755103096833,0.05017059999954654,199.3199204332893,5,192.6492477861837,190.08612571313495,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.80\p0.80_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",10000000,1771922,0.1771922,1.4175376,0.7219280948873623,96.35440288844404,0.04574690000299597,218.59404679541342,0.05010829999810085,199.56773629077438,5,208.46734921913068,190.32246112876834,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.90\p0.90_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",10000000,1261380,0.126138,1.009104,0.4689955935892812,115.16278911646107,0.03458920000412036,289.1075826792401,0.04310849999455968,231.97281281561655,5,275.7142396320577,221.22632380669134,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.95\p0.95_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",10000000,753359,0.0753359,0.6026872,0.28639695711595625,110.43771067581012,0.02207559999806108,452.988820275703,0.03421920000255341,292.23359982857016,5,432.00343272458423,278.695439341235,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.99\p0.99_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",10000000,181329,0.0181329,0.1450632,0.08079313589591118,79.54891636696755,0.006488599996373523,1541.1645047605027,0.024873599999409635,402.0326772255462,5,1469.7677440352757,383.407909544399,3.10.8,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.01\p0.01_random_10000000B.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",10000000,1499602,0.1499602,1.1996816,0.6463345554604936,85.61309926331627,0.03403550000075484,293.8108739339284,0.04230410000309348,236.38370747205948,5,280.1996438543787,225.43287714240083,3.10.8,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.05\p0.05_random_10000000B.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",10000000,3879690,0.387969,3.103752,2.291160100889569,35.4663953337409,0.09338620000198716,107.08220272146431,0.06587179999769432,151.81003100492205,5,102.12145882811679,144.77720327896034,3.10.8,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.10\p0.10_random_10000000B.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",10000000,5329305,0.5329305,4.263444,3.7519456376681077,13.632883088620554,0.09197049999784213,108.73051685306295,0.06641859999945154,150.5602346343129,5,103.69341233157337,143.58530560258666,3.10.8,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.20\p0.20_random_10000000B.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",10000000,7321384,0.7321384,5.8571072,5.775409955115091,1.4145704897113385,0.03774559999874327,264.9315416984482,0.06502170000021579,153.79481003982997,5,252.65819006545752,146.6700344436636,3.10.8,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.30\p0.30_random_10000000B.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",10000000,8866508,0.8866508,7.0932064,7.050309204593689,0.6084441711912524,0.03695609999704175,270.5913232402899,0.07029250000050524,142.26268805246823,5,258.0557737255989,135.67215533020826,3.10.8,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.40\p0.40_random_10000000B.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",10000000,9752625,0.9752625,7.8021,7.767587988589667,0.44430795584202537,0.039269300003070384,254.65185269964377,0.06559099999867612,152.45994115353994,5,242.85472310103705,145.3970053636886,3.10.8,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.50\p0.50_random_10000000B.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",10000000,10000013,1.0000013,8.0000104,7.999980814915114,0.00036981444795042745,0.014814099995419383,675.0325705302425,0.007959599999594502,1256.3445399906334,5,643.7606727081653,1198.1424919723422,3.10.8,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.60\p0.60_random_10000000B.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",10000000,9752836,0.9752836,7.8022688,7.767587425586726,0.44648836907883155,0.03932610000629211,254.28405050081287,0.0656304000003729,152.36841463625365,5,242.50395989155675,145.3097189498011,3.10.8,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.80\p0.80_random_10000000B.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",10000000,7321344,0.7321344,5.8570752,5.775405342017996,1.4140974207962171,0.037850000000617,264.200792598071,0.06547709999722429,152.72515124255537,5,251.9612940148415,145.64992919694816,3.10.8,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.90\p0.90_random_10000000B.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",10000000,5329651,0.5329651,4.2637208,3.7519466029790745,13.640231356559623,0.08598640000127489,116.29746099210729,0.06364949999988312,157.1104250625435,5,110.90980641678003,149.8320486199377,3.10.8,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.95\p0.95_random_10000000B.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",10000000,3875604,0.3875604,3.1004832,2.2911575074364627,35.32387842986309,0.07963259999814909,125.57671104839514,0.05206529999850318,192.0665011108644,5,119.75918127549365,183.1687319364602,3.10.8,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.99\p0.99_random_10000000B.bin,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",10000000,1498376,0.1498376,1.1987008,0.6463368612978303,85.46068958422623,0.029925200004072394,334.16652181569856,0.033861700001580175,295.3189001005072,5,318.6857557282624,281.63780844352686,3.10.8,Windows-10-10.0.19045-SP0
