dataset,alg,params,original_bytes,compressed_bytes,ratio,bpb,entropy_bpb,%_over_entropy,comp_time_s,comp_MB_s,decomp_time_s,decomp_MB_s,repeats,comp_MiB_s,decomp_MiB_s,env_python,env_platform
data\binary\ascii01\p0.01\p0.01_random_10000000B.txt,lz4,"{""level"": 0}",10000000,543982,0.0543982,0.4351856,0.08079313589591118,438.641798185264,0.0037750999981653877,2648.936453301839,0.006730499997502193,1485.773717214349,5,2526.220493033786,1416.94301792682,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.05\p0.05_random_10000000B.txt,lz4,"{""level"": 0}",10000000,1931957,0.1931957,1.5455656,0.28639695711595625,439.65852694944385,0.01229149999562651,813.5703537857985,0.011920400000235531,838.8980235396809,5,775.8804850515004,800.034812458372,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.10\p0.10_random_10000000B.txt,lz4,"{""level"": 0}",10000000,2938622,0.2938622,2.3508976,0.4689955935892812,401.26219353326763,0.015979400006472133,625.8057246173012,0.014117200000328012,708.3557645827537,5,596.8143343776705,675.5401197401486,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.20\p0.20_random_10000000B.txt,lz4,"{""level"": 0}",10000000,4090979,0.4090979,3.2727832,0.7219280948873623,353.33922078633486,0.01740050000080373,574.696129395023,0.01314039999851957,761.0118414299889,5,548.0724679277439,725.7568247307269,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.30\p0.30_random_10000000B.txt,lz4,"{""level"": 0}",10000000,4667961,0.4667961,3.7343688,0.8812908992306927,323.73849579745473,0.018628799996804446,536.8032295003105,0.012466799998946954,802.1304585655245,5,511.9350135410293,764.9705601616101,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.40\p0.40_random_10000000B.txt,lz4,"{""level"": 0}",10000000,4927361,0.4927361,3.9418888,0.9709505944546686,305.9824282010919,0.019461000003502704,513.8482091465054,0.012456799995561596,802.7743885719476,5,490.0434189867291,765.5846591432138,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.50\p0.50_random_10000000B.txt,lz4,"{""level"": 0}",10000000,5000498,0.5000498,4.0003984,1.0,300.03983999999997,0.01948640000045998,513.1784218616034,0.012684000001172535,788.3948280570467,5,489.4046606039132,751.8712533692538,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.60\p0.60_random_10000000B.txt,lz4,"{""level"": 0}",10000000,4928616,0.4928616,3.9428928,0.9709505944546686,306.0858320205791,0.019147099999827333,522.2723023377002,0.011871699993207585,842.3393453104036,5,498.0772534066889,803.3167098287248,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.80\p0.80_random_10000000B.txt,lz4,"{""level"": 0}",10000000,4091601,0.4091601,3.2732808,0.7219280948873623,353.40814731842636,0.017334600001049694,576.8809202055111,0.014140699997369666,707.1785697921684,5,550.1560450220782,674.4174602665465,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.90\p0.90_random_10000000B.txt,lz4,"{""level"": 0}",10000000,2935991,0.2935991,2.3487928,0.4689955935892812,400.8134046685596,0.015179599999100901,658.7788874932348,0.015022500003396999,665.6681642695108,5,628.2599659531265,634.8300866340951,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.95\p0.95_random_10000000B.txt,lz4,"{""level"": 0}",10000000,1931205,0.1931205,1.544964,0.28639695711595625,439.4484688517398,0.011784700000134762,848.5578758802214,0.011057800002163276,904.339018434378,5,809.247157628803,862.4441549631488,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.99\p0.99_random_10000000B.txt,lz4,"{""level"": 0}",10000000,543506,0.0543506,0.4348048,0.08079313589591118,438.1704710164677,0.0035267999992356636,2835.43155329682,0.006527400000777561,1532.0035540657495,5,2704.0759273800713,1461.0311881424718,3.10.8,Windows-10-10.0.19045-SP0
