dataset,alg,params,original_bytes,compressed_bytes,ratio,bpb,entropy_bpb,%_over_entropy,comp_time_s,comp_MB_s,decomp_time_s,decomp_MB_s,repeats,comp_MiB_s,decomp_MiB_s,env_python,env_platform
./data\letters_gaussian.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",1025000,592804,0.5783453658536586,4.626762926829269,4.388998139753674,5.4172906778433605,0.0036007999442517757,284.6589690816574,0.0034774000523611903,294.7604487737942,5,271.47171474181573,281.105228213395,3.10.2,Windows-10-10.0.19045-SP0
./data\letters_linear.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",1025000,598842,0.5842360975609756,4.673888780487805,4.530482928456603,3.1653546497316913,0.0032740000169724226,313.0726923293824,0.003298399969935417,310.7567333685337,5,298.5691295787485,296.3604608956517,3.10.2,Windows-10-10.0.19045-SP0
./data\letters_uniform.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",1025000,629629,0.6142721951219512,4.9141775609756095,4.7756121247473935,2.901521995686479,0.0029511000029742718,347.32811459013647,0.0032273000106215477,317.60294878894587,5,331.23761794689216,302.8895151027511,3.10.2,Windows-10-10.0.19045-SP0
./data\letters_gaussian.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",1025000,566254,0.5524429268292683,4.419543414634147,4.388998139753674,0.6959509643853828,0.003408999997191131,300.6746849060005,0.0036912999348714948,277.67995505238815,5,286.7454784727763,264.8160140208965,3.10.2,Windows-10-10.0.19045-SP0
./data\letters_linear.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",1025000,583703,0.5694663414634147,4.5557307317073175,4.530482928456603,0.5572872395595879,0.0034333999501541257,298.53789680226083,0.003571899957023561,286.9621244527031,5,284.7076802876936,273.6681729806399,3.10.2,Windows-10-10.0.19045-SP0
./data\letters_uniform.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",1025000,619581,0.6044692682926829,4.835754146341463,4.7756121247473935,1.2593573352075944,0.003480499959550798,294.49792038850904,0.003611000021919608,283.8548861196378,5,280.85486184991214,270.7048821308555,3.10.2,Windows-10-10.0.19045-SP0
./data\letters_gaussian.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 2}",1025000,577883,0.5637882926829269,4.510306341463415,4.388998139753674,2.7639155417037533,0.00930300005711615,110.1795113089294,0.004262699978426099,240.45792694480386,5,105.07527994268177,229.31835227802932,3.10.2,Windows-10-10.0.19045-SP0
./data\letters_linear.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 2}",1025000,591725,0.5772926829268292,4.618341463414634,4.530482928456603,1.9392752681216092,0.006035699974745512,169.82288786533294,0.004319699946790934,237.2849995661072,5,161.95558748751088,226.2924155263264,3.10.2,Windows-10-10.0.19045-SP0
./data\letters_uniform.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 2}",1025000,621472,0.6063141463414634,4.850513170731707,4.7756121247473935,1.5684072329947796,0.0047716000117361546,214.8126409336335,0.004053200013004243,252.88660730075026,5,204.8611226640922,241.17125534688995,3.10.2,Windows-10-10.0.19045-SP0
./data\letters_gaussian.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 3}",1025000,576094,0.5620429268292683,4.496343414634146,4.388998139753674,2.4457808242884402,0.0111017000162974,92.32820185154438,0.004020899999886751,254.91805317935513,5,88.05095921104537,243.10859144365585,3.10.2,Windows-10-10.0.19045-SP0
