dataset,alg,params,original_bytes,compressed_bytes,ratio,bpb,entropy_bpb,%_over_entropy,comp_time_s,comp_MB_s,decomp_time_s,decomp_MB_s,repeats,comp_MiB_s,decomp_MiB_s,env_python,env_platform
data\binary\ascii01\p0.01\p0.01_random_10000000B.txt,lz4,"{""level"": 0}",10000000,543982,0.0543982,0.4351856,0.08079313589591118,438.641798185264,0.0025413000003027264,3934.9939002907067,0.004260199999407632,2347.3076384654405,5,3752.6993969547752,2238.5650861328727,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.05\p0.05_random_10000000B.txt,lz4,"{""level"": 0}",10000000,1931957,0.1931957,1.5455656,0.28639695711595625,439.65852694944385,0.00841759999821079,1187.9870749531408,0.007615499998792075,1313.111417712053,5,1132.9517891850764,1252.2795588116173,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.10\p0.10_random_10000000B.txt,lz4,"{""level"": 0}",10000000,2938622,0.2938622,2.3508976,0.4689955935892812,401.26219353326763,0.010262299998430535,974.4404277334856,0.009069799998542294,1102.5601448330954,5,929.2980111744649,1051.482389925904,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.20\p0.20_random_10000000B.txt,lz4,"{""level"": 0}",10000000,4090979,0.4090979,3.2727832,0.7219280948873623,353.33922078633486,0.011484199996630196,870.7615683229391,0.009633699999540113,1038.0227742692189,5,830.4222306660953,989.9348099974537,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.30\p0.30_random_10000000B.txt,lz4,"{""level"": 0}",10000000,4667961,0.4667961,3.7343688,0.8812908992306927,323.73849579745473,0.012313399998674868,812.1233778709512,0.009166199997707736,1090.9646311994916,5,774.5005424694664,1040.4240558794418,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.40\p0.40_random_10000000B.txt,lz4,"{""level"": 0}",10000000,4927361,0.4927361,3.9418888,0.9709505944546686,305.9824282010919,0.012773400001606205,782.8769159928084,0.00872239999807789,1146.4734479275942,5,746.6089668700583,1093.3613432906966,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.50\p0.50_random_10000000B.txt,lz4,"{""level"": 0}",10000000,5000498,0.5000498,4.0003984,1.0,300.03983999999997,0.012827500002458692,779.5751314038796,0.008488600000418955,1178.0505618719753,5,743.4601424119487,1123.4755999984127,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.60\p0.60_random_10000000B.txt,lz4,"{""level"": 0}",10000000,4928616,0.4928616,3.9428928,0.9709505944546686,306.0858320205791,0.012737699998979224,785.0710882499495,0.008705000000190921,1148.7650775164477,5,748.7014908014373,1095.546809696502,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.80\p0.80_random_10000000B.txt,lz4,"{""level"": 0}",10000000,4091601,0.4091601,3.2732808,0.7219280948873623,353.40814731842636,0.01144159999967087,874.0036358802668,0.009652700002334313,1035.979570232339,5,833.5141045737961,987.9862604567573,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.90\p0.90_random_10000000B.txt,lz4,"{""level"": 0}",10000000,2935991,0.2935991,2.3487928,0.4689955935892812,400.8134046685596,0.010281599999871105,972.6112667411069,0.009080899999389658,1101.212434964829,5,927.5535888127109,1050.1971147417316,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.95\p0.95_random_10000000B.txt,lz4,"{""level"": 0}",10000000,1931205,0.1931205,1.544964,0.28639695711595625,439.4484688517398,0.00866189999942435,1154.4811185380318,0.007932199998322176,1260.6842997043955,5,1100.998046531477,1202.2812057984454,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.99\p0.99_random_10000000B.txt,lz4,"{""level"": 0}",10000000,543506,0.0543506,0.4348048,0.08079313589591118,438.1704710164677,0.0027418999998189975,3647.1060216128,0.004705299998022383,2125.2630021896493,5,3478.1483567040245,2026.8070011743055,3.10.2,Windows-10-10.0.19045-SP0
data\binary\bitpack\p0.01\p0.01_random_10000000B.bin,lz4,"{""level"": 0}",10000000,2608554,0.2608554,2.0868432,0.6463345554604936,222.87353080065296,0.011340900000504917,881.7642338398878,0.0082287000004726,1215.258789289398,5,840.9151811754464,1158.9601003888206,3.10.2,Windows-10-10.0.19045-SP0
