dataset,alg,params,original_bytes,compressed_bytes,ratio,bpb,entropy_bpb,%_over_entropy,comp_time_s,comp_MB_s,decomp_time_s,decomp_MB_s,repeats,comp_MiB_s,decomp_MiB_s,env_python,env_platform
data\binary\ascii01\p0.01\p0.01_alternating_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,6408,0.0006408,0.0051264,0.08079313589591118,-93.65490651754806,0.002959299999929499,3379.1775082750096,0.010057200001028832,994.312532213441,5,3222.6320342122835,948.2495105637377,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.01\p0.01_blocks_zeros_then_ones_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,6454,0.0006454,0.0051632,0.08079313589591118,-93.6093580936728,0.0029635000028065406,3374.3883889082645,0.010781700002553407,927.4975187244795,5,3218.0647779941223,884.5298029400416,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.05\p0.05_alternating_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,6007,0.0006007,0.0048056,0.28639695711595625,-98.32204921155837,0.00285730000177864,3499.8075084083234,0.010265699995215982,974.1176933536141,5,3337.673668386481,928.9902279495326,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.05\p0.05_blocks_zeros_then_ones_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,6455,0.0006455,0.005164,0.28639695711595625,-98.19690821718152,0.0029963000051793642,3337.449515306923,0.0107034000029671,934.2825641597893,5,3182.837153199659,891.0005209534843,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.10\p0.10_alternating_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,5488,0.0005488,0.0043904,0.4689955935892812,-99.06387180177968,0.0027795999994850717,3597.639948860457,0.009887400003208313,1011.388231158358,5,3430.9738740768157,964.5341521049703,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.10\p0.10_blocks_zeros_then_ones_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,6455,0.0006455,0.005164,0.4689955935892812,-98.8989235569402,0.0030186000003595836,3312.7940100738,0.010824199998751283,923.8558046925995,5,3159.323851282439,881.0567967810464,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.20\p0.20_alternating_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,4571,0.0004571,0.0036568,0.7219280948873623,-99.49346755917976,0.0024556999997003004,4072.158651798031,0.010561499999312218,946.8352033945193,5,3883.5097853080983,902.9716403198654,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.20\p0.20_blocks_zeros_then_ones_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,6454,0.0006454,0.0051632,0.7219280948873623,-99.28480411878061,0.00295689999620663,3381.9202586590263,0.010845500000868924,922.0413995849722,5,3225.2477225647704,879.3264467155174,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.30\p0.30_alternating_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,3652,0.0003652,0.0029216,0.8812908992306927,-99.6684863076936,0.0022540999998454936,4436.3604102237905,0.010751200003142003,930.1287295443794,5,4230.839350193382,887.0391189662672,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.30\p0.30_blocks_zeros_then_ones_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,6454,0.0006454,0.0051632,0.8812908992306927,-99.41413215494372,0.00300950000382727,3322.8110939633507,0.011367200000677258,879.7241184640193,5,3168.876878713761,838.9695772089004,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.40\p0.40_alternating_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,2735,0.0002735,0.002188,0.9709505944546686,-99.77465382765136,0.0028297999961068854,3533.818649288841,0.01855220000288682,539.0196310110902,5,3370.1091920762715,514.0487369224807,3.10.8,Windows-10-10.0.19045-SP0
