dataset,alg,params,original_bytes,compressed_bytes,ratio,bpb,entropy_bpb,%_over_entropy,comp_time_s,comp_MB_s,decomp_time_s,decomp_MB_s,repeats,comp_MiB_s,decomp_MiB_s,env_python,env_platform
data\binary\ascii01\p0.01\p0.01_alternating_10000000B.txt,lz4,"{""level"": 0}",10000000,41229,0.0041229,0.0329832,0.08079313589591118,-59.175739827089416,0.0009084000048460439,11008.366299706047,0.006909299998369534,1447.32462078066,5,10498.387194783758,1380.2751336412812,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.01\p0.01_blocks_zeros_then_ones_10000000B.txt,lz4,"{""level"": 0}",10000000,41228,0.0041228,0.0329824,0.08079313589591118,-59.17673001021713,0.0014157000041450374,7063.643406598103,0.007491800002753735,1334.7927062020256,5,6736.409515218296,1272.9564290439985,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.05\p0.05_alternating_10000000B.txt,lz4,"{""level"": 0}",10000000,41229,0.0041229,0.0329832,0.28639695711595625,-88.4833971938306,0.0010963999957311898,9120.758882647564,0.008922400003939401,1120.7746789635994,5,8698.226026767865,1068.8531084020633,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.05\p0.05_blocks_zeros_then_ones_10000000B.txt,lz4,"{""level"": 0}",10000000,41229,0.0041229,0.0329832,0.28639695711595625,-88.4833971938306,0.0008780999996815808,11388.224579918266,0.007323599995288532,1365.4486873167932,5,10860.647969565482,1302.1922257841018,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.10\p0.10_alternating_10000000B.txt,lz4,"{""level"": 0}",10000000,41228,0.0041228,0.0329824,0.4689955935892812,-92.96743925724725,0.0008778000046731904,11392.116594625735,0.007086699995852541,1411.0940220204686,5,10864.359680845284,1345.7229717920247,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.10\p0.10_blocks_zeros_then_ones_10000000B.txt,lz4,"{""level"": 0}",10000000,41229,0.0041229,0.0329832,0.4689955935892812,-92.96726867995166,0.0008948000031523407,11175.681677213282,0.007190099997387733,1390.8012411000047,5,10657.951436097137,1326.3702844302645,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.20\p0.20_alternating_10000000B.txt,lz4,"{""level"": 0}",10000000,41228,0.0041228,0.0329824,0.7219280948873623,-95.43134555455333,0.0009552999981679022,10467.91585803229,0.006988699999055825,1430.881279973529,5,9982.973931651832,1364.593555297212,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.20\p0.20_blocks_zeros_then_ones_10000000B.txt,lz4,"{""level"": 0}",10000000,41228,0.0041228,0.0329824,0.7219280948873623,-95.43134555455333,0.000895099998160731,11171.936119481841,0.007036200004222337,1421.2216813051252,5,10654.37939695395,1355.3814520471751,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.30\p0.30_alternating_10000000B.txt,lz4,"{""level"": 0}",10000000,41228,0.0041228,0.0329824,0.8812908992306927,-96.25749000372166,0.0008678999947733246,11522.064823392204,0.007321700002648868,1365.8030233937704,5,10988.287862713936,1302.5301467100512,3.10.8,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.30\p0.30_blocks_zeros_then_ones_10000000B.txt,lz4,"{""level"": 0}",10000000,41229,0.0041229,0.0329832,0.8812908992306927,-96.25739922779276,0.0008824000033200718,11332.728878484277,0.007132800004910678,1401.973978397734,5,10807.72318986264,1337.02542788968,3.10.8,Windows-10-10.0.19045-SP0
