dataset,alg,params,original_bytes,compressed_bytes,ratio,bpb,entropy_bpb,%_over_entropy,comp_time_s,comp_MB_s,decomp_time_s,decomp_MB_s,repeats,comp_MiB_s,decomp_MiB_s,env_python,env_platform
data\standard_corpora\Calgary corpus\bib,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",117541,44081,0.37502658646770065,3.000212691741605,5.223598524178376,-42.56425569739759,0.0006308000010903925,186.33639790237825,0.000596199999563396,197.15028528359042,5,177.70408436651454,188.01700217083786,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\book1,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",768771,375880,0.48893623718896784,3.9114898975117427,4.527148564470308,-13.599259184696088,0.004774099998030579,161.02951348256948,0.0045119999995222315,170.38364363506292,5,153.56957938189322,162.49036540387544,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\book2,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",626490,252826,0.4035595141183419,3.228476112946735,4.841455635699291,-33.31600337012239,0.0032428000013169367,193.19415312247918,0.0032976000002236106,189.98362444126568,5,184.24414377474767,181.1823476573494,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\geo,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",102400,74680,0.729296875,5.834375,5.646375764301414,3.3295558699296977,0.0006734999988111667,152.04157413623176,0.0007480000022042077,136.8983953185127,5,144.99801982690232,130.55637151506266,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\news,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",387168,163942,0.4234389205719481,3.3875113645755848,5.228617581167095,-35.21210316132073,0.0023204000026453286,166.85399050104135,0.0023383000007015653,165.57670097243175,5,159.1242287533145,157.9061115807832,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\obj1,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",21504,11727,0.5453404017857143,4.362723214285714,5.948170510344819,-26.654368655063916,0.000125299997307593,171.62011541956264,0.00012659999993047677,169.8578199984918,5,163.6695557756066,161.98890133712828,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\obj2,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",246814,96692,0.3917605970487898,3.1340847763903183,6.260380901345052,-49.93779410903009,0.0012267000020074192,201.2015974534149,0.0014807000006840099,166.68737751467833,5,191.8806312187641,158.96533436382046,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\paper1,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",54411,22399,0.41166308283251546,3.2933046626601237,5.026331076751094,-34.47895468141663,0.00034949999826494604,155.68240420634442,0.00022259999968810007,244.43396260664392,5,148.47018297498678,233.11019211527923,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\paper2,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",83930,35994,0.4288573811509591,3.430859049207673,4.651464973116336,-26.24132248578226,0.0006221999974513892,134.89231813530702,0.0004941999977745581,169.83002909337688,5,128.6432288707743,161.96239788743856,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\paper3,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",47626,21678,0.4551715449544367,3.6413723596354934,4.715846777044882,-22.78433690084164,0.0002454999994370155,193.99592712511895,0.0002319999985047616,205.2844840816778,5,185.00877439233972,195.77437199091244,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\paper4,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",13580,6347,0.46737849779086893,3.7390279823269514,4.748583780525425,-21.260145021317644,8.909999814932235e-05,152.41302224542508,6.70000008540228e-05,202.68656458061272,5,145.35226004447085,193.29680501316855,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\paper5,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",12274,5768,0.4699364510347075,3.75949160827766,4.981752192021593,-24.534752766334204,8.140000136336312e-05,150.78623826073223,6.319999738479964e-05,194.2088687958086,5,143.8008392715234,185.21185122026682,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\paper6,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",39124,16071,0.41077088232287085,3.2861670585829668,5.053182806457383,-34.968371728336734,0.00018810000256053172,207.99574411175067,0.0001764999979059212,221.66572500954956,5,198.36002882740473,211.3967273259115,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\pic,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",513216,66029,0.12865732946751465,1.0292586357401172,1.210175941358676,-14.949669666663604,0.0011169000026711728,459.50040180194736,0.002229800000350224,230.16234636262968,5,438.2133554553294,219.49972993171002,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\progc,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",41098,16187,0.39386344834298503,3.1509075867438803,5.235409519438619,-39.81545139793104,0.00018649999765329994,220.3646140328668,0.0001722999986668583,238.52582889140297,5,210.15589226967214,227.4757615692306,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\progl,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",73890,20505,0.27750710515631344,2.2200568412505075,4.821461497824892,-53.95469107754893,0.0004028000003017951,183.4409134673248,0.00032949999877018854,224.24886274896454,5,174.94273759733295,213.86019732931803,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\progp,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",51345,13995,0.27256792287467135,2.180543382997371,4.9167431296291815,-55.65065480323707,0.0001785000022209715,287.6470552445047,0.00015450000137207098,332.3300941360487,5,274.3213733246505,316.93440331944055,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\trans,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",93695,23269,0.24834836437376595,1.9867869149901276,5.532780979531253,-64.09062779928708,0.00048690000039641745,192.43171066690638,0.00028340000062598847,330.610443871001,5,183.51702261122327,315.29441843607367,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\bib,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",117541,40390,0.34362477773713,2.74899822189704,5.223598524178376,-47.373478088470975,0.0013523000015993603,86.91932253271071,0.0005856000025232788,200.71891990015405,5,82.89265435154132,191.4203144282065,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\book1,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",768771,330875,0.4303947469402462,3.4431579755219697,4.527148564470308,-23.94422390852484,0.007224000000860542,106.4190199208779,0.005166900002222974,148.78766758970542,5,101.48899896695981,141.8948553889614,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\book2,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",626490,227978,0.3638972689109164,2.911178151287331,4.841455635699291,-39.869775324981454,0.0051608999965537805,121.39161782215159,0.003916599998774473,159.9576163499036,5,115.76796877954455,152.54733949403578,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\geo,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",102400,71151,0.694833984375,5.558671875,5.646375764301414,-1.5532775883587537,0.0007589999986521434,134.9143612409028,0.0006673999996564817,153.43122573075584,5,128.66425079639157,146.3232937238612,3.10.8,Windows-10-10.0.19045-SP0
