dataset,alg,params,original_bytes,compressed_bytes,ratio,bpb,entropy_bpb,%_over_entropy,comp_time_s,comp_MB_s,decomp_time_s,decomp_MB_s,repeats,comp_MiB_s,decomp_MiB_s,env_python,env_platform
data\standard_corpora\Canterbury corpus\alice29.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",152089,65795,0.4326085384215821,3.4608683073726567,4.567680212177266,-24.23137902373047,0.0008128000008582603,187.11737184966117,0.0008485999969707336,179.22342746042364,5,178.4488785225587,170.92063296494862,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\asyoulik.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",129301,59147,0.4574365240794735,3.659492192635788,4.858567442605119,-24.67960492746392,0.0007847999986552168,164.75662617426343,0.0008081999985734001,159.98638978994873,5,157.1240279795058,152.57477996124913,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\cp.html,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",25248,9389,0.3718710392902408,2.9749683143219263,5.267091176965161,-43.51781250090169,0.00012689999857684597,198.9598131059926,9.619999764254317e-05,262.4532288848457,5,189.74270089870626,250.29468881571373,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\fields.c,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",11581,3882,0.335204213798463,2.681633710387704,5.050710247475277,-46.9058096981868,6.70000008540228e-05,172.85074406539587,4.2100000428035855e-05,275.0831325951201,5,164.84317370084722,262.33949326474783,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\grammar.lsp,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",3815,1495,0.3918741808650065,3.134993446920052,4.684882641505578,-33.08277524082096,3.4599997889017686e-05,110.2601223340222,1.6699999832781032e-05,228.44311605988156,5,105.15215654094823,217.86014555525836,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\kennedy.xls,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",1029744,229276,0.22265339734924408,1.7812271787939526,3.573470858581421,-50.154142868789044,0.0027474999988044146,374.79308478547665,0.004195800000161398,245.42256541312486,5,357.43023214175014,234.0529964117318,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\lcet10.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",426754,173662,0.40693701757921424,3.255496140633714,4.669117836842554,-30.275991003148217,0.0021797999979753513,195.77667694117764,0.00228409999908763,186.83682858476615,5,186.70702829823702,178.1813318458247,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\plrabn12.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",481861,235170,0.48804530767171445,3.9043624613737156,4.531362798245583,-13.836904366046888,0.0029265999983181246,164.6487392458548,0.0029371999989962205,164.05454179649823,5,157.0211390751168,156.4544687151684,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\ptt5,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",513216,66029,0.12865732946751465,1.0292586357401172,1.210175941358676,-14.949669666663604,0.0012172000024293084,421.6365420438012,0.0019699999975273386,260.5157363675976,5,402.1035958772325,248.44695354970875,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\sum,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",38240,15235,0.39840481171548114,3.187238493723849,5.328990058101005,-40.19057159097746,0.00024289999782922678,157.4310429878431,0.0002406999992672354,158.8699630927058,5,150.1378134382353,151.51007340778327,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\xargs.1,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",4339,2074,0.47799032035031114,3.823922562802489,4.944926714969233,-22.669782926676167,4.3300002289470285e-05,100.20784689554532,2.3100001271814108e-05,187.83548749386048,5,95.5655678620665,179.13372638083146,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\alice29.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",152089,60292,0.3964257770121442,3.1714062160971537,4.567680212177266,-30.568558463390183,0.0016314000022248365,93.22606337660123,0.0008433000002696645,180.34981614059774,5,88.90722595224177,171.9948399975221,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\asyoulik.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",129301,54092,0.4183416988267685,3.346733590614148,4.858567442605119,-31.11686458715368,0.0016565000005357433,78.05674612627928,0.0008825000004435424,146.51671380738088,5,74.4406501099531,139.72910695188963,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\cp.html,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",25248,9252,0.3664448669201521,2.931558935361217,5.267091176965161,-44.34197478521061,0.00017809999917517416,141.7630551203247,9.73999995039776e-05,259.2197138457781,5,135.19566864416404,247.21097121801762,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\fields.c,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",11581,3851,0.33252741559450827,2.660219324756066,5.050710247475277,-47.32979730750061,6.510000093840063e-05,177.89554275057927,4.3399999412940815e-05,266.84332158186226,5,169.6542645089543,254.4814038740147,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\grammar.lsp,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 1}",3815,1402,0.3674967234600262,2.9399737876802097,4.684882641505578,-37.24551898838192,3.0800001695752144e-05,123.8636295440904,1.6500001947861165e-05,231.21209391702675,5,118.12546084516111,220.50084635378366,3.10.8,Windows-10-10.0.19045-SP0
