dataset,alg,params,original_bytes,compressed_bytes,ratio,bpb,entropy_bpb,%_over_entropy,comp_time_s,comp_MB_s,decomp_time_s,decomp_MB_s,repeats,comp_MiB_s,decomp_MiB_s,env_python,env_platform
data\standard_corpora\Silesia corpus\dickens,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10192446,4408386,0.4325150214188037,3.4601201713504297,4.532332261326248,-23.656961320440974,0.052508999997371575,194.10855282923308,0.04920300000230782,207.15090542287936,5,185.11618254153137,197.55432855985993,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\mozilla,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",51220480,21801074,0.4256319737729908,3.4050557901839262,6.222428869049129,-45.27770647373806,0.19067180000274675,268.6316487244686,0.24507720000110567,208.99732818788905,5,256.1868840754251,199.3152130166982,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\mr,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",9970564,3965753,0.3977461054359613,3.1819688434876903,3.6842814884513526,-13.633937757964414,0.03921450000052573,254.2570732730579,0.04619739999907324,215.82521960543272,5,242.47823242440106,205.82679210788714,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\nci,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",34393996,4058667,0.11800510182067823,0.9440408145654259,2.5355731351137636,-62.76814888547596,0.054928199999267235,626.1628089116125,0.06226339999921038,552.3950828325499,5,597.1548762056578,526.804550846533,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\ooffice,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",6152192,3556789,0.5781336148156625,4.6250689185253,6.639858949477125,-30.34386793879839,0.030412200001592282,202.29355323448786,0.03910199999882025,157.33701601415834,5,192.9220005080103,150.048142405348,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\osdb,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10085684,3914923,0.38816633557029945,3.1053306845623956,6.593520633853201,-52.90329920833712,0.03567739999925834,282.69111538984515,0.039762899999914225,253.64558420089472,5,269.59502482826497,241.89507150204693,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\reymont,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",6627202,2363877,0.3566930659424596,2.8535445275396767,4.842168553041757,-41.0688724219,0.026339899999584304,251.6031571913557,0.026460900000529364,250.45263010205318,5,239.94726299173266,238.85003579809285,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\samba,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",21606400,6169975,0.28556237966528436,2.284499037322275,6.094505845097855,-62.515434468574306,0.06380449999778648,338.6344223487305,0.07118899999841233,303.50756437766887,5,322.9466740576972,289.44712054754297,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\sao,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",7251944,6019743,0.8300868015527975,6.64069441242238,7.525199903781795,-11.753913552713815,0.043363299999327864,167.23690309806693,0.052213200000551296,138.89100840253863,5,159.4894023490952,132.4566738047907,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\webster,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",41458703,14559362,0.35117745965183716,2.8094196772146973,4.970730978411171,-43.48075384854782,0.18550230000255397,223.49428012175161,0.1641194000003452,252.613054885119,5,213.14057187579817,240.91037565782634,3.10.8,Windows-10-10.0.19045-SP0
