dataset,alg,params,original_bytes,compressed_bytes,ratio,bpb,entropy_bpb,%_over_entropy,comp_time_s,comp_MB_s,decomp_time_s,decomp_MB_s,repeats,comp_MiB_s,decomp_MiB_s,env_python,env_platform
data\standard_corpora\Calgary corpus\bib,lz4,"{""level"": 0}",117541,58077,0.4940999310878757,3.9527994487030056,5.223598524178376,-24.32803879534857,0.000371000001905486,316.8221007986521,0.00016210000103455968,725.1141224542022,5,302.14484106854934,691.5221215098313,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\book1,lz4,"{""level"": 0}",768771,522924,0.6802077601782586,5.4416620814260686,4.527148564470308,20.20065177743425,0.002959100002044579,259.7989251694166,0.001076599997759331,714.0730091027319,5,247.76334970703303,680.992504319647,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\book2,lz4,"{""level"": 0}",626490,337782,0.5391658286644639,4.3133266293157115,4.841455635699291,-10.908475593359388,0.00230800000281306,271.44280729480727,0.0010355000013078097,605.0120706989467,5,258.8678115022439,576.9839777120274,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\geo,lz4,"{""level"": 0}",102400,98365,0.960595703125,7.684765625,5.646375764301414,36.10085381823293,0.00016529999993508682,619.4797340605711,9.000000136438757e-05,1137.777760529224,5,590.7814048359936,1085.0684966731808,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\news,lz4,"{""level"": 0}",387168,226218,0.5842889908256881,4.674311926605505,5.228617581167095,-10.601380689192839,0.0014494000024569687,267.12294697370453,0.0006676000011793803,579.9400828580439,5,254.7480751995438,553.073487369447,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\obj1,lz4,"{""level"": 0}",21504,12948,0.6021205357142857,4.816964285714286,5.948170510344819,-19.017716836852358,4.389999958220869e-05,489.8405513587955,9.100000170292333e-06,2363.076878855618,5,467.1479520088566,2253.603792774396,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\obj2,lz4,"{""level"": 0}",246814,117810,0.47732300436766145,3.8185840349412916,6.260380901345052,-39.003966450014836,0.0006972999981371686,353.956691035941,0.00026050000087707303,947.4625687869717,5,337.5591156318063,903.5699420681227,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\paper1,lz4,"{""level"": 0}",54411,29438,0.5410303063718733,4.328242450974987,5.026331076751094,-13.888631988550507,0.0001973999969777651,275.6383020924199,3.310000101919286e-05,1643.8368073901288,5,262.86894370114385,1567.6835980175883,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\paper2,lz4,"{""level"": 0}",83930,48234,0.5746931967115453,4.597545573692362,4.651464973116336,-1.1591917758299102,0.0002778999987640418,302.01511469333593,0.0001049999991664663,799.3333396787741,5,288.0238108367025,762.3030220089477,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\paper3,lz4,"{""level"": 0}",47626,28852,0.6058035526813085,4.846428421450468,4.715846777044882,2.7689967587838633,0.00016140000298037194,295.0805397803609,2.8599999495781958e-05,1665.2447846030234,5,281.41049052326144,1588.0998185283534,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\paper4,lz4,"{""level"": 0}",13580,8562,0.6304860088365243,5.043888070692194,4.748583780525425,6.218786564909137,4.659999831346795e-05,291.41631955972025,9.100000170292333e-06,1492.3076643814777,5,277.9160208085075,1423.174270176539,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\paper5,lz4,"{""level"": 0}",12274,7619,0.6207430340557275,4.96594427244582,4.981752192021593,-0.31731645747231957,3.190000279573724e-05,384.7648565610835,7.499998901039362e-06,1636.533573131464,5,366.9400466108719,1560.718697056424,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\paper6,lz4,"{""level"": 0}",39124,21076,0.5386974746958388,4.309579797566711,5.053182806457383,-14.715537461665424,0.00015770000027259812,248.0913121900493,2.3399999918183312e-05,1671.9658178117395,5,236.59810948538856,1594.5094897777549,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\pic,lz4,"{""level"": 0}",513216,86999,0.1695173182441701,1.3561385459533608,1.210175941358676,12.06127139090299,0.0006118999990576413,838.7252832004905,0.0007203999994089827,712.4042204623032,5,799.8700745748744,679.4010248197374,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\progc,lz4,"{""level"": 0}",41098,21396,0.5206092753905299,4.164874203124239,5.235409519438619,-20.44797665473112,0.00011660000018309802,352.4699822938546,2.4000000848900527e-05,1712.4166060970267,5,336.14128090543915,1633.0863345330483,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\progl,lz4,"{""level"": 0}",73890,27574,0.373176343212884,2.985410745703072,4.821461497824892,-38.080792576070934,0.0001799000019673258,410.728177831928,0.00011869999798364006,622.4936921244426,5,391.7005780233458,593.6557367651745,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\progp,lz4,"{""level"": 0}",51345,19013,0.37029895802901935,2.962391664232155,4.9167431296291815,-39.74890316355459,0.0001021999996737577,502.3972618777225,2.5400000595254824e-05,2021.456645540086,5,479.12295405107864,1927.8096299280348,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\trans,lz4,"{""level"": 0}",93695,30073,0.3209669672874753,2.5677357382998025,5.532780979531253,-53.59050452567624,0.00021710000146413222,431.57530800606486,0.00014000000010128133,669.249999515839,5,411.5819335768935,638.2459879822254,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\bib,lz4,"{""level"": 1}",117541,58077,0.4940999310878757,3.9527994487030056,5.223598524178376,-24.32803879534857,0.0004082000014022924,287.94953355269615,0.0002226999968115706,527.7997381358429,5,274.60983887085075,503.34862243850966,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\book1,lz4,"{""level"": 1}",768771,522924,0.6802077601782586,5.4416620814260686,4.527148564470308,20.20065177743425,0.003008400002727285,255.5414836135705,0.0010258000002068002,749.4355623367289,5,243.70314052652748,714.7168341556343,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\book2,lz4,"{""level"": 1}",626490,337782,0.5391658286644639,4.3133266293157115,4.841455635699291,-10.908475593359388,0.002218400000856491,282.40623862158384,0.0008527999998477753,734.6271108253147,5,269.3233454042178,700.5944064048281,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\geo,lz4,"{""level"": 1}",102400,98365,0.960595703125,7.684765625,5.646375764301414,36.10085381823293,0.00016880000111996196,606.6350670651174,9.719999798107892e-05,1053.4979642688195,5,578.5317863335702,1004.6930885744474,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\news,lz4,"{""level"": 1}",387168,226218,0.5842889908256881,4.674311926605505,5.228617581167095,-10.601380689192839,0.0013610999994853046,284.45228135067686,0.0005928999999014195,653.0072525963465,5,271.2746021304464,622.75571071263,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\obj1,lz4,"{""level"": 1}",21504,12948,0.6021205357142857,4.816964285714286,5.948170510344819,-19.017716836852358,4.1799998143687844e-05,514.449783611947,9.2999980552122e-06,2312.258548048625,5,490.6171246114111,2205.139697478197,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\obj2,lz4,"{""level"": 1}",246814,117810,0.47732300436766145,3.8185840349412916,6.260380901345052,-39.003966450014836,0.0006805999983043876,362.64178756229785,0.0002596000012999866,950.7472987829016,5,345.84186201536374,906.7025020128725,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\paper1,lz4,"{""level"": 1}",54411,29438,0.5410303063718733,4.328242450974987,5.026331076751094,-13.888631988550507,0.00017939999816007912,303.2943174918481,3.220000144210644e-05,1689.7825330171966,5,289.24375264403415,1611.5008188881488,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\paper2,lz4,"{""level"": 1}",83930,48234,0.5746931967115453,4.597545573692362,4.651464973116336,-1.1591917758299102,0.00027939999927184545,300.3937015702686,0.00012120000246795826,692.4917350739217,5,286.47751211214796,660.4110152282791,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\paper3,lz4,"{""level"": 1}",47626,28852,0.6058035526813085,4.846428421450468,4.715846777044882,2.7689967587838633,0.00019240000256104395,247.53637924141609,2.970000059576705e-05,1603.5689914022369,5,236.0688846391868,1529.2812490931633,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\paper4,lz4,"{""level"": 1}",13580,8562,0.6304860088365243,5.043888070692194,4.748583780525425,6.218786564909137,4.489999992074445e-05,302.44988917529696,8.800001523923129e-06,1543.1815509443118,5,288.4384437376953,1471.6913475247375,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\paper5,lz4,"{""level"": 1}",12274,7619,0.6207430340557275,4.96594427244582,4.981752192021593,-0.31731645747231957,5.1799997891066596e-05,236.94981659674485,8.300001354655251e-06,1478.7949393665867,5,225.97276041151096,1410.2875424459446,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\paper6,lz4,"{""level"": 1}",39124,21076,0.5386974746958388,4.309579797566711,5.053182806457383,-14.715537461665424,0.00011269999959040433,347.15173151900484,2.2000000171829015e-05,1778.3636224738877,5,331.06940608648245,1695.978256314714,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\pic,lz4,"{""level"": 1}",513216,86999,0.1695173182441701,1.3561385459533608,1.210175941358676,12.06127139090299,0.0008734999973967206,587.5397842352951,0.0006966000000829808,736.7441859587487,5,560.3211211645947,702.6134048525662,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\progc,lz4,"{""level"": 1}",41098,21396,0.5206092753905299,4.164874203124239,5.235409519438619,-20.44797665473112,0.00011340000128257088,362.41622165057765,2.2999996872385964e-05,1786.8698082016997,5,345.6267457833352,1704.0903802112175,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\progl,lz4,"{""level"": 1}",73890,27574,0.373176343212884,2.985410745703072,4.821461497824892,-38.080792576070934,0.00021259999994072132,347.55409228881723,0.00013870000111637637,532.7325119341746,5,331.4531268892318,508.0528780809253,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\progp,lz4,"{""level"": 1}",51345,19013,0.37029895802901935,2.962391664232155,4.9167431296291815,-39.74890316355459,0.00010129999645869248,506.8608271959532,2.5200002710334957e-05,2037.4997808608382,5,483.37973800105004,1943.1095429060456,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\trans,lz4,"{""level"": 1}",93695,30073,0.3209669672874753,2.5677357382998025,5.532780979531253,-53.59050452567624,0.00023979999969014898,390.721435033634,0.00018529999942984432,505.63950506364404,5,372.6206776380769,482.2149954511148,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\bib,lz4,"{""level"": 2}",117541,58077,0.4940999310878757,3.9527994487030056,5.223598524178376,-24.32803879534857,0.00046490000022458844,252.8307161609317,0.00020199999926262535,581.8861407379609,5,241.1179534480797,554.9293911948288,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\book1,lz4,"{""level"": 2}",768771,522924,0.6802077601782586,5.4416620814260686,4.527148564470308,20.20065177743425,0.0032100999997055624,239.4850627925963,0.0009968999984266702,771.1616021800496,5,228.39055751904925,735.436382567697,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\book2,lz4,"{""level"": 2}",626490,337782,0.5391658286644639,4.3133266293157115,4.841455635699291,-10.908475593359388,0.0027307999989716336,229.41628835356818,0.0008662000000185799,723.2625259600114,5,218.7882341806006,689.7563030045878,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\geo,lz4,"{""level"": 2}",102400,98365,0.960595703125,7.684765625,5.646375764301414,36.10085381823293,0.000216199998249067,473.6355265000189,0.00012970000170753337,789.5142532912727,5,451.6936492688509,752.9388195479728,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\news,lz4,"{""level"": 2}",387168,226218,0.5842889908256881,4.674311926605505,5.228617581167095,-10.601380689192839,0.0014295000000856817,270.8415529743224,0.0006909000003361143,560.3821100183059,5,258.29441119132264,534.4215670002895,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Calgary corpus\obj1,lz4,"{""level"": 2}",21504,12948,0.6021205357142857,4.816964285714286,5.948170510344819,-19.017716836852358,4.939999780617654e-05,435.30366305626285,9.400002454640344e-06,2287.658977087232,5,415.1375669788863,2181.6797385935474,3.10.8,Windows-10-10.0.19045-SP0
