dataset,alg,params,original_bytes,compressed_bytes,ratio,bpb,entropy_bpb,%_over_entropy,comp_time_s,comp_MB_s,decomp_time_s,decomp_MB_s,repeats,comp_MiB_s,decomp_MiB_s,env_python,env_platform
data\standard_corpora\Canterbury corpus\alice29.txt,lz4,"{""level"": 0}",152089,88750,0.583539900979032,4.668319207832256,4.567680212177266,2.203284621079421,0.0005023000012442935,302.7851873845239,0.00015750000238767825,965.6444298054082,5,288.7582087537155,920.9095010632108,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\asyoulik.txt,lz4,"{""level"": 0}",129301,81179,0.6278296378218265,5.022637102574612,4.858567442605119,3.3769143252135474,0.0004590999997162726,281.6401657153323,0.00018980000095325522,681.2486794025086,5,268.5927619760957,649.6888109994686,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\cp.html,lz4,"{""level"": 0}",25248,12020,0.47607731305449935,3.808618504435995,5.267091176965161,-27.6902871723121,6.910000229254365e-05,365.38349004837045,1.340000017080456e-05,1884.1790804607178,5,348.45655101535283,1796.8916542608542,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\fields.c,lz4,"{""level"": 0}",11581,5410,0.4671444607546844,3.7371556860374753,5.050710247475277,-26.00732366491257,2.6900001103058457e-05,430.52042844278066,7.200000254670158e-06,1608.4721653291858,5,410.5759228939535,1533.9572761227014,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\grammar.lsp,lz4,"{""level"": 0}",3815,1949,0.5108781127129751,4.087024901703801,4.684882641505578,-12.761424043050184,8.200000593205914e-06,465.24386878226653,3.2999996619764715e-06,1156.0607244774924,5,443.6907477003037,1102.5044748530056,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\kennedy.xls,lz4,"{""level"": 0}",1029744,374890,0.36406135893969765,2.9124908715175812,3.573470858581421,-18.496862384551036,0.0021302999994077254,483.3798057955657,0.0008321999994223006,1237.3756317169325,5,460.98651018877655,1180.0523468683436,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\lcet10.txt,lz4,"{""level"": 0}",426754,233295,0.5466732590672847,4.373386072538278,4.669117836842554,-6.333782411117353,0.0016597000030742493,257.12719118486893,0.0005411000020103529,788.6786147005686,5,245.2153878126334,752.1418931702277,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\plrabn12.txt,lz4,"{""level"": 0}",481861,325682,0.6758837092024463,5.407069673619571,4.531362798245583,19.32546375922574,0.001915600001666462,251.54572957862214,0.0005891999971936457,817.8224750425995,5,239.8924957994232,779.935620403806,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\ptt5,lz4,"{""level"": 0}",513216,86999,0.1695173182441701,1.3561385459533608,1.210175941358676,12.06127139090299,0.0006245999975362793,821.6714729816988,0.0006449000029533636,795.807098231807,5,783.6063077316493,758.9401389939136,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\sum,lz4,"{""level"": 0}",38240,18835,0.49254707112970714,3.940376569037657,5.328990058101005,-26.057723394555982,9.610000051907264e-05,397.91883239803565,2.1200001356191933e-05,1803.773469515895,5,379.4846447580865,1720.2109540233957,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\xargs.1,lz4,"{""level"": 0}",4339,2732,0.6296381654759161,5.037105323807329,4.944926714969233,1.8641046501064185,1.049999991664663e-05,413.2380985185513,3.7999998312443495e-06,1141.8421559716621,5,394.0942228639132,1088.9446028914638,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\alice29.txt,lz4,"{""level"": 1}",152089,88750,0.583539900979032,4.668319207832256,4.567680212177266,2.203284621079421,0.0006404999985534232,237.45355244885997,0.00023520000104326755,646.6369018936425,5,226.4531599435959,616.6804760753765,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\asyoulik.txt,lz4,"{""level"": 1}",129301,81179,0.6278296378218265,5.022637102574612,4.858567442605119,3.3769143252135474,0.0005191000018385239,249.0868802582312,0.00021580000247922726,599.1705213833184,5,237.54755636733103,571.4130469432604,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\cp.html,lz4,"{""level"": 1}",25248,12020,0.47607731305449935,3.808618504435995,5.267091176965161,-27.6902871723121,5.7199998991563916e-05,441.3986091804595,1.2200001947348937e-05,2069.507866389021,5,420.95015556842765,1973.634805791565,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\fields.c,lz4,"{""level"": 1}",11581,5410,0.4671444607546844,3.7371556860374753,5.050710247475277,-26.00732366491257,2.1699997887481004e-05,533.6866878996897,7.200000254670158e-06,1608.4721653291858,5,508.96285041153374,1533.9572761227014,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\grammar.lsp,lz4,"{""level"": 1}",3815,1949,0.5108781127129751,4.087024901703801,4.684882641505578,-12.761424043050184,6.800000846851617e-06,561.0293418957933,3.2999996619764715e-06,1156.0607244774924,5,535.0388148888206,1102.5044748530056,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\kennedy.xls,lz4,"{""level"": 1}",1029744,374890,0.36406135893969765,2.9124908715175812,3.573470858581421,-18.496862384551036,0.0021498999994946644,478.9729755998149,0.001314299999648938,783.4923535532637,5,456.7838330215123,747.1958933610532,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\lcet10.txt,lz4,"{""level"": 1}",426754,233295,0.5466732590672847,4.373386072538278,4.669117836842554,-6.333782411117353,0.0015363000020442996,277.78038106628503,0.0006422000005841255,664.5188408779782,5,264.9117876488458,633.7340073751178,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\plrabn12.txt,lz4,"{""level"": 1}",481861,325682,0.6758837092024463,5.407069673619571,4.531362798245583,19.32546375922574,0.001910499999212334,252.2172207268584,0.0006395999989763368,753.3786753771201,5,240.53287911154482,718.4772765613283,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\ptt5,lz4,"{""level"": 1}",513216,86999,0.1695173182441701,1.3561385459533608,1.210175941358676,12.06127139090299,0.0006080999992263969,843.9664539597024,0.0007720000030531082,664.7875621377352,5,804.8684402257027,633.9902797188603,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\sum,lz4,"{""level"": 1}",38240,18835,0.49254707112970714,3.940376569037657,5.328990058101005,-26.057723394555982,8.549999984097667e-05,447.251462820157,1.9499999325489625e-05,1961.0257088580609,5,426.5318669714705,1870.1782471634278,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Canterbury corpus\xargs.1,lz4,"{""level"": 1}",4339,2732,0.6296381654759161,5.037105323807329,4.944926714969233,1.8641046501064185,8.999999408842996e-06,482.1111427781532,3.7000027077738196e-06,1172.7018444834182,5,459.77661989135294,1118.3746699773933,3.10.8,Windows-10-10.0.19045-SP0
