dataset,alg,params,original_bytes,compressed_bytes,ratio,bpb,entropy_bpb,%_over_entropy,comp_time_s,comp_MB_s,decomp_time_s,decomp_MB_s,repeats,comp_MiB_s,decomp_MiB_s,env_python,env_platform
data\standard_corpora\Silesia corpus\dickens,lz4,"{""level"": 0}",10192446,6430049,0.6308641713676972,5.046913370941578,4.532332261326248,11.35356103536755,0.03527130000293255,288.97279088529694,0.010448999993968755,975.4470289868084,5,275.5856922704448,930.2579801126731,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\mozilla,lz4,"{""level"": 0}",51220480,26441653,0.5162320423393143,4.129856338714514,6.222428869049129,-33.62951307877929,0.11088510000263341,461.92391943357194,0.04497559999435907,1138.8503990257868,5,440.52459999221037,1086.0914435801387,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\mr,lz4,"{""level"": 0}",9970564,5443900,0.5459971973501199,4.367977578800959,3.6842814884513526,18.557107878230838,0.02177230000233976,457.9472081005917,0.007572700000309851,1316.645846209679,5,436.7321157853008,1255.6502495998902,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\nci,lz4,"{""level"": 0}",34393996,5584122,0.1623574649482427,1.2988597195859417,2.5355731351137636,-48.77451170314337,0.04079049999563722,843.1864283026351,0.025747300001967233,1335.8292324776623,5,804.1245504289053,1273.9449366829103,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\ooffice,lz4,"{""level"": 0}",6152192,4339979,0.7054362087529128,5.643489670023302,6.639858949477125,-15.005880200697403,0.01687099999981001,364.6607788553898,0.005369400001654867,1145.7876109255922,5,347.76732050399914,1092.707278718034,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\osdb,lz4,"{""level"": 0}",10085684,5258269,0.5213596817032935,4.170877453626348,6.593520633853201,-36.742786058607955,0.0249718999984907,403.88132263102045,0.008170099994458724,1234.4627369114821,5,385.1709136745435,1177.2743962903264,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\reymont,lz4,"{""level"": 0}",6627202,3183061,0.4803023960941586,3.8424191687532687,4.842168553041757,-20.646728285831053,0.021711900000809692,305.2336276306014,0.005592800000158604,1184.9524388163463,5,291.09322132749776,1130.057737125762,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\samba,lz4,"{""level"": 0}",21606400,7721963,0.35739239299466824,2.859139143957346,6.094505845097855,-53.08661248955716,0.04321399999753339,499.9861156392204,0.01795990000391612,1203.035651383848,5,476.8235077839502,1147.3032177075881,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\sao,lz4,"{""level"": 0}",7251944,6790933,0.936429321572257,7.491434572578056,7.525199903781795,-0.4486968005563564,0.02071270000305958,350.12065056360484,0.005845100000442471,1240.6877554620162,5,333.9007854966144,1183.2110315056686,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\webster,lz4,"{""level"": 0}",41458703,20145891,0.48592670639021196,3.8874136511216957,4.970730978411171,-21.79392391168479,0.12442720000399277,333.19646346353227,0.03661409999767784,1132.3152283581849,5,317.76063678642197,1079.8590245104435,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\x-ray,lz4,"{""level"": 0}",8474240,8387862,0.9898069915414244,7.918455932331395,6.604646126833163,19.892205884589693,0.0120563000018592,702.8889459198252,0.0061989999958314,1367.0333934019382,5,670.3265596636978,1303.7035179794045,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\xml,lz4,"{""level"": 0}",5345280,1229418,0.23000067349137931,1.8400053879310345,5.518154617082,-66.65542168327228,0.008250600003520958,647.8656094973568,0.0039029999970807694,1369.5311309244112,5,617.8522619536602,1306.085544059202,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\dickens,lz4,"{""level"": 1}",10192446,6430049,0.6308641713676972,5.046913370941578,4.532332261326248,11.35356103536755,0.03528779999760445,288.8376719628859,0.00871039999765344,1170.1467214761458,5,275.45683293508176,1115.937916881581,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\mozilla,lz4,"{""level"": 1}",51220480,26441653,0.5162320423393143,4.129856338714514,6.222428869049129,-33.62951307877929,0.11406960000022082,449.0283125381421,0.04821249999804422,1062.3900441188032,5,428.226401457196,1013.1732294682472,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\mr,lz4,"{""level"": 1}",9970564,5443900,0.5459971973501199,4.367977578800959,3.6842814884513526,18.557107878230838,0.02275740000186488,438.12403873829834,0.008376400000997819,1190.3161261176972,5,417.8272845208572,1135.172943555878,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\nci,lz4,"{""level"": 1}",34393996,5584122,0.1623574649482427,1.2988597195859417,2.5355731351137636,-48.77451170314337,0.04145699999935459,829.6306052183094,0.026393100000859704,1303.1434730622657,5,791.1967212116816,1242.7733941709623,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\ooffice,lz4,"{""level"": 1}",6152192,4339979,0.7054362087529128,5.643489670023302,6.639858949477125,-15.005880200697403,0.017000200001348276,361.8893895078925,0.005367500001739245,1146.1931994422896,5,345.1243199310346,1093.0940777374456,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\osdb,lz4,"{""level"": 1}",10085684,5258269,0.5213596817032935,4.170877453626348,6.593520633853201,-36.742786058607955,0.024926799997047056,404.6120641716866,0.00804999999672873,1252.8800005091316,5,385.86780251566347,1194.8384524865382,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\reymont,lz4,"{""level"": 1}",6627202,3183061,0.4803023960941586,3.8424191687532687,4.842168553041757,-20.646728285831053,0.021775099994556513,304.347718341441,0.005572800000663847,1189.20506732891,5,290.24835311691595,1134.1133562344453,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\samba,lz4,"{""level"": 1}",21606400,7721963,0.35739239299466824,2.859139143957346,6.094505845097855,-53.08661248955716,0.04305459999886807,501.8372020775491,0.017900099999678787,1207.0547092132292,5,478.5888398624356,1151.1360866458426,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\sao,lz4,"{""level"": 1}",7251944,6790933,0.936429321572257,7.491434572578056,7.525199903781795,-0.4486968005563564,0.020866300001216587,347.5433593678411,0.006040800006303471,1200.493973055344,5,331.4428911869422,1144.8792864456045,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\webster,lz4,"{""level"": 1}",41458703,20145891,0.48592670639021196,3.8874136511216957,4.970730978411171,-21.79392391168479,0.12378210000315448,334.9329426382608,0.03693139999813866,1122.5868231935297,5,319.4166709549493,1070.5813023284506,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\x-ray,lz4,"{""level"": 1}",8474240,8387862,0.9898069915414244,7.918455932331395,6.604646126833163,19.892205884589693,0.011742499998945277,721.6725570160668,0.00541269999666838,1565.6215946230268,5,688.2399917603248,1493.0918224719874,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\xml,lz4,"{""level"": 1}",5345280,1229418,0.23000067349137931,1.8400053879310345,5.518154617082,-66.65542168327228,0.00834739999845624,640.3526847867062,0.004322900000261143,1236.5032731909357,5,610.6873847656822,1179.220401661467,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\dickens,lz4,"{""level"": 2}",10192446,6430049,0.6308641713676972,5.046913370941578,4.532332261326248,11.35356103536755,0.0348597999982303,292.38394943509235,0.008377699996344745,1216.61625558889,5,278.83882377638906,1160.2546800228863,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\mozilla,lz4,"{""level"": 2}",51220480,26441653,0.5162320423393143,4.129856338714514,6.222428869049129,-33.62951307877929,0.11265320000529755,454.6739905976159,0.05001089999859687,1024.1863274093662,5,433.6105349999756,976.73935732264,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\mr,lz4,"{""level"": 2}",9970564,5443900,0.5459971973501199,4.367977578800959,3.6842814884513526,18.557107878230838,0.02262469999550376,440.6937551428953,0.007931599997391459,1257.0684355337025,5,420.27795495294185,1198.8328519669876,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\nci,lz4,"{""level"": 2}",34393996,5584122,0.1623574649482427,1.2988597195859417,2.5355731351137636,-48.77451170314337,0.04162240000005113,826.3338010291994,0.026449199998751283,1300.3794444302212,5,788.052646428888,1240.1374133172505,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\ooffice,lz4,"{""level"": 2}",6152192,4339979,0.7054362087529128,5.643489670023302,6.639858949477125,-15.005880200697403,0.016726900001231115,367.8022825237906,0.005021099997975398,1225.2677705046067,5,350.76328929598833,1168.5054005143606,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\osdb,lz4,"{""level"": 2}",10085684,5258269,0.5213596817032935,4.170877453626348,6.593520633853201,-36.742786058607955,0.024967800003651064,403.94764450713166,0.008800300005532335,1146.0613835505158,5,385.23416309011924,1092.9683684148638,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\reymont,lz4,"{""level"": 2}",6627202,3183061,0.4803023960941586,3.8424191687532687,4.842168553041757,-20.646728285831053,0.021875300000829156,302.9536509098757,0.005678499997884501,1167.06912080108,5,288.91886795319994,1113.0028906807697,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\samba,lz4,"{""level"": 2}",21606400,7721963,0.35739239299466824,2.859139143957346,6.094505845097855,-53.08661248955716,0.04316560000006575,500.54673165592715,0.01826460000302177,1182.9659558066069,5,477.35815242156025,1128.1632809254208,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\sao,lz4,"{""level"": 2}",7251944,6790933,0.936429321572257,7.491434572578056,7.525199903781795,-0.4486968005563564,0.0203962000014144,355.55368154347894,0.005335900001227856,1359.0854398191943,5,339.08212315518205,1296.1237652853067,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\webster,lz4,"{""level"": 2}",41458703,20145891,0.48592670639021196,3.8874136511216957,4.970730978411171,-21.79392391168479,0.1251574999987497,331.2522461731352,0.03653900000063004,1134.6425189327877,5,315.9064882824857,1082.0784998532656,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\x-ray,lz4,"{""level"": 2}",8474240,8387862,0.9898069915414244,7.918455932331395,6.604646126833163,19.892205884589693,0.011413000000175089,742.5076666844822,0.0055240999936359,1534.0489871223983,5,708.109883676135,1462.981863440248,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\xml,lz4,"{""level"": 2}",5345280,1229418,0.23000067349137931,1.8400053879310345,5.518154617082,-66.65542168327228,0.008378900005482137,637.9453146000902,0.004094399999303278,1305.5099650521634,5,608.3915396191642,1245.03025486463,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\dickens,lz4,"{""level"": 3}",10192446,4779206,0.4688968673466605,3.751174938773284,4.532332261326248,-17.235217488763336,0.19999999999708962,50.9622300007416,0.009632100001908839,1058.1748526261267,5,48.60132814364078,1009.1533130532695,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\mozilla,lz4,"{""level"": 3}",51220480,22619725,0.44161485796306477,3.532918863704518,6.222428869049129,-43.22283246534893,0.7055203999989317,72.5995733079831,0.04429820000223117,1156.2654915418725,5,69.23628901989268,1102.6997557755396,3.10.8,Windows-10-10.0.19045-SP0
data\standard_corpora\Silesia corpus\mr,lz4,"{""level"": 3}",9970564,4647528,0.4661248852121104,3.728999081696883,3.6842814884513526,1.2137398672088686,0.14285329999984242,69.79582550778315,0.008160299999872223,1221.8379226445256,5,66.56242904815389,1165.2344455085038,3.10.8,Windows-10-10.0.19045-SP0
