dataset,alg,params,original_bytes,compressed_bytes,ratio,bpb,entropy_bpb,%_over_entropy,comp_time_s,comp_MB_s,decomp_time_s,decomp_MB_s,repeats,comp_MiB_s,decomp_MiB_s,env_python,env_platform
data\binary\ascii01\p0.01\p0.01_alternating_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,6408,0.0006408,0.0051264,0.08079313589591118,-93.65490651754806,0.002468499937094748,4051.04324684298,0.00964359997306019,1036.957155827225,5,3863.3725832058485,988.9185579304916,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.01\p0.01_blocks_zeros_then_ones_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,6454,0.0006454,0.0051632,0.08079313589591118,-93.6093580936728,0.002537699998356402,3940.57611477981,0.00967339996714145,1033.762692948492,5,3758.0230069724125,985.8720833431408,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.01\p0.01_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,271802,0.0271802,0.2174416,0.08079313589591118,169.13375448149228,0.005743099958635867,1741.2199112019732,0.018932500039227307,528.1922608889708,5,1660.5552832624612,503.72296098547554,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.05\p0.05_alternating_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,6007,0.0006007,0.0048056,0.28639695711595625,-98.32204921155837,0.00238540000282228,4192.169023295265,0.009773099911399186,1023.2167982173355,5,3997.9604960735505,975.8147430267973,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.05\p0.05_blocks_zeros_then_ones_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,6455,0.0006455,0.005164,0.28639695711595625,-98.19690821718152,0.0025385000044479966,3939.3342456087667,0.00924509996548295,1081.6540694352152,5,3756.838669256177,1031.5448198746467,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.05\p0.05_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,867509,0.0867509,0.6940072,0.28639695711595625,142.3235243100054,0.014702500076964498,680.1564324197994,0.023914300021715462,418.1598454029374,5,648.6471639989395,398.78796243073583,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.10\p0.10_alternating_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,5488,0.0005488,0.0043904,0.4689955935892812,-99.06387180177968,0.002304699970409274,4338.959573216889,0.009684699936769903,1032.5565133962486,5,4137.950753270351,984.7217818705035,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.10\p0.10_blocks_zeros_then_ones_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,6455,0.0006455,0.005164,0.4689955935892812,-98.8989235569402,0.0025055999867618084,3991.060046629317,0.0091476000379771,1093.1829068262805,5,3806.168194845145,1042.539566555663,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.10\p0.10_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1287220,0.128722,1.029776,0.4689955935892812,119.57050643461211,0.017396400100551546,574.8315710261777,0.028994100051932037,344.89775444275756,5,548.2016350218832,328.91984788407757,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.20\p0.20_alternating_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,4571,0.0004571,0.0036568,0.7219280948873623,-99.49346755917976,0.0020899000810459256,4784.917753099149,0.008758999989368021,1141.6828418927214,5,4563.249250578713,1088.792669276542,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.20\p0.20_blocks_zeros_then_ones_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,6454,0.0006454,0.0051632,0.7219280948873623,-99.28480411878061,0.0024926000041887164,4011.8751437035194,0.008825200027786195,1133.1187926069597,5,3826.0190012802304,1080.6253624383294,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.20\p0.20_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1751833,0.1751833,1.4014664,0.7219280948873623,94.12825320486543,0.01838199992198497,544.0104473093783,0.03210439998656511,311.4837842845451,5,518.8083461588543,297.0538300858479,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.30\p0.30_alternating_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,3652,0.0003652,0.0029216,0.8812908992306927,-99.6684863076936,0.0018482999876141548,5410.377139540168,0.008682900108397007,1151.6889374702423,5,5159.733291416366,1098.3352174458948,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.30\p0.30_blocks_zeros_then_ones_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,6454,0.0006454,0.0051632,0.8812908992306927,-99.41413215494372,0.0025038999738171697,3993.7697610001183,0.00919469993095845,1087.5830723230144,5,3808.752377627353,1037.1991527974865,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.30\p0.30_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1925066,0.1925066,1.5400528,0.8812908992306927,74.74965432462332,0.018962600035592914,527.3538428923217,0.033218399970792234,301.0379792161166,5,502.923383961941,287.091942628258,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.40\p0.40_alternating_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,2735,0.0002735,0.002188,0.9709505944546686,-99.77465382765136,0.0016533000161871314,6048.508983301271,0.00898139993660152,1113.4121707738927,5,5768.302718952965,1061.8316794637503,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.40\p0.40_blocks_zeros_then_ones_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,6454,0.0006454,0.0051632,0.9709505944546686,-99.46823246934619,0.002486000070348382,4022.526032591232,0.009043299942277372,1105.7910346697738,5,3836.1764717411115,1054.5636039376548,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.40\p0.40_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1963690,0.196369,1.570952,0.9709505944546686,61.795256007059784,0.019250800018198788,519.4589310857979,0.03296099998988211,303.38885358665254,5,495.39421580410357,289.3339092122405,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.50\p0.50_alternating_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1830,0.000183,0.001464,1.0,-99.8536,0.0013707999605685472,7295.010422857353,0.0083070999244228,1203.7895403906348,5,6957.0581069040845,1148.0221816736903,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.50\p0.50_blocks_zeros_then_ones_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,6455,0.0006455,0.005164,1.0,-99.48360000000001,0.0024979999288916588,4003.202676005245,0.008827700046822429,1132.7978915187027,5,3817.7482986753243,1080.3193275750236,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.50\p0.50_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1970609,0.1970609,1.5764872,1.0,57.64872000000001,0.019356600008904934,516.6196540404584,0.03243130003102124,308.3440993865428,5,492.68647253287617,294.0595958069864,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.60\p0.60_alternating_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,2749,0.0002749,0.0021992,0.9709505944546686,-99.77350031890808,0.0015944000333547592,6271.951700201054,0.008689200039952993,1150.8539283271118,5,5981.394116350509,1097.5388913556194,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.60\p0.60_blocks_zeros_then_ones_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,6454,0.0006454,0.0051632,0.9709505944546686,-99.46823246934619,0.002528900047764182,3954.288351111808,0.008799499948509037,1136.4282127979752,5,3771.1000033586556,1083.7814687677894,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.60\p0.60_random_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,1963718,0.1963718,1.5709744,0.9709505944546686,61.79756302454638,0.019307399983517826,517.9361285588279,0.0328739999094978,304.1917633245125,5,493.9419593916555,290.09962295041265,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.80\p0.80_alternating_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,4578,0.0004578,0.0036624,0.7219280948873623,-99.49269185865784,0.002009799936786294,4975.619621120189,0.008524499949999154,1173.0893376333463,5,4745.1165681031025,1118.744211925083,3.10.2,Windows-10-10.0.19045-SP0
data\binary\ascii01\p0.80\p0.80_blocks_zeros_then_ones_10000000B.txt,brotli,"{""lgwin"": ""default"", ""mode"": ""text"", ""quality"": 0}",10000000,6454,0.0006454,0.0051632,0.7219280948873623,-99.28480411878061,0.0025149999419227242,3976.143232971597,0.008826700039207935,1132.9262301404037,5,3791.9424249872354,1080.4417207172921,3.10.2,Windows-10-10.0.19045-SP0
